articleID,year,journal,title_original,Title
144689,1993,financial management,financial innovations and excesses revisited: the case of auction rate preferred stock,financial innovations and excesses revisited the case of auction rate preferred stock
144690,1993,financial management,indexed sinking fund debentures: valuation and analysis,indexed sinking fund debentures valuation and analysis
144691,1993,financial management,default risk and innovations in the design of interest rate swaps,default risk and innovations in the design of interest rate swaps
144692,1993,financial management,contingent payments and debt contracts,contingent payments and debt contracts
144693,1993,financial management,behavioral aspects of the design and marketing of financial products,behavioral aspects of the design and marketing of financial products
144694,1993,financial management,corporate investments and finance,corporate investments and finance
144695,1993,financial management,managerial reputation and corporate investment decisions,managerial reputation and corporate investment decisions
144696,1993,financial management,financing multiple investment projects,financing multiple investment projects
144697,1993,financial management,sword financing of innovation in the biotechnology industry,sword financing of innovation in the biotechnology industry
144698,1993,financial management,recognizing retiree health benefits: the effect of sfas 106,recognizing retiree health benefits the effect of sfas 106
144701,1993,financial management,controlling financial distress costs in leveraged buyouts with financial innovations,controlling financial distress costs in leveraged buyouts with financial innovations
144702,1993,financial management,"accounting measures of corporate liquidity, leverage, and costs of financial distress",accounting measures of corporate liquidity leverage and costs of financial distress
144703,1993,financial management,absolute priority rule violations and risk incentives for financially distressed firms,absolute priority rule violations and risk incentives for financially distressed firms
144704,1993,financial management,does default risk in coupons affect the valuation of corporate bonds?: a contingent claims model,does default risk in coupons affect the valuation of corporate bonds a contingent claims model
144705,1993,financial management,marketability and default influences on the yield premia of speculative-grade debt,marketability and default influences on the yield premia of speculativegrade debt
144706,1993,financial management,recognizing financial distress patterns using a neural network tool,recognizing financial distress patterns using a neural network tool
144707,1993,financial management,market reaction to bond downgradings followed by chapter 11 filings,market reaction to bond downgradings followed by chapter 11 filings
144708,1993,financial management,troubled savings and loan institutions: turnaround strategies under insolvency,troubled savings and loan institutions turnaround strategies under insolvency
144709,1993,financial management,response of distressed firms to incentives: thrift institution performance under the fslic management consignment program,response of distressed firms to incentives thrift institution performance under the fslic management consignment program
144712,1993,financial management,"reversion, timing options, and long-term decision-making",reversion timing options and longterm decisionmaking
144713,1993,financial management,a real options and game-theoretic approach to corporate investment strategy under competition,a real options and gametheoretic approach to corporate investment strategy under competition
144714,1993,financial management,creating value by spawning investment opportunities,creating value by spawning investment opportunities
144715,1993,financial management,case studies on real options,case studies on real options
144716,1993,financial management,the value of flexibility: the case of a dual-fuel industrial steam boiler,the value of flexibility the case of a dualfuel industrial steam boiler
144717,1993,financial management,an empirical examination of white knight corporate takeovers: synergy and overbidding,an empirical examination of white knight corporate takeovers synergy and overbidding
144718,1993,financial management,takeover activity and the long-run performance of reverse leveraged buyouts,takeover activity and the longrun performance of reverse leveraged buyouts
144719,1993,financial management,the acquisition of failing thrifts: returns to acquirers,the acquisition of failing thrifts returns to acquirers
144720,1993,financial management,the choice of organizational form: the case of post-merger managerial incentive structure,the choice of organizational form the case of postmerger managerial incentive structure
144722,1993,financial management,"the tax advantages of refunding debt by calling, repurchasing, and putting",the tax advantages of refunding debt by calling repurchasing and putting
144723,1993,financial management,calls of out-of-the-money convertible bonds,calls of outofthemoney convertible bonds
144724,1993,financial management,"trade credit, quality guarantees, and product marketability",trade credit quality guarantees and product marketability
144791,1994,journal of econometrics,dynamic linear models with markov-switching,dynamic linear models with markovswitching
144796,1994,journal of econometrics,confidence sets centered at james-stein estimators:  a surprise concerning the unknown-variance case,confidence sets centered at jamesstein estimators a surprise concerning the unknownvariance case
144798,1994,journal of econometrics,local scale models:  state space alternative to integrated garch processes,local scale models state space alternative to integrated garch processes
144824,1994,journal of policy analysis and management,did (or does) the united states have a competitiveness crisis?,did (or does) the united states have a competitiveness crisis
144832,1994,journal of policy analysis and management,"""not like us"":  removing the barriers to recruiting minority faculty",not like us removing the barriers to recruiting minority faculty
144905,1994,american economic review,was the crash of 1929 expected?,was the crash of 1929 expected
144906,1994,american economic review,credible disinflation with staggered price-setting,credible disinflation with staggered pricesetting
144907,1994,american economic review,on inflation and output with costly price changes:  a simple unifying result,on inflation and output with costly price changes a simple unifying result
144908,1994,american economic review,"cointegration, aggregate consumption, and the demand for imports:  a structural econometric investigation",cointegration aggregate consumption and the demand for imports a structural econometric investigation
144909,1994,american economic review,the debt burden and debt maturity,the debt burden and debt maturity
144910,1994,american economic review,debt maturity and the deadweight cost of leverage:  optimally financing banking firms,debt maturity and the deadweight cost of leverage optimally financing banking firms
144911,1994,american economic review,international comparisons of living standards and tastes:  a revealed-preference analysis,international comparisons of living standards and tastes a revealedpreference analysis
144912,1994,american economic review,the misperception of walras,the misperception of walras
144913,1994,american economic review,does the human-capital/educational-sorting debate matter for development policy?,does the humancapitaleducationalsorting debate matter for development policy
144959,1994,annals of regional science,sustainability and migration:  experiments from the senegalese peanut basin,sustainability and migration experiments from the senegalese peanut basin
144960,1994,annals of regional science,"sustainability, the discount rate, and intergenerational effects within a regional framework",sustainability the discount rate and intergenerational effects within a regional framework
144962,1994,applied economics,the relative impact of macroeconomic and yearling-specific variables in determining thoroughbred yearling price,the relative impact of macroeconomic and yearlingspecific variables in determining thoroughbred yearling price
144964,1994,applied economics,measurement error in the capital stock and its effect on the investment function,measurement error in the capital stock and its effect on the investment function
144965,1994,applied economics,measuring cartel rents in the college basketball player recruitment market,measuring cartel rents in the college basketball player recruitment market
144966,1994,applied economics,excess returns and official intervention:  some cross country evidence,excess returns and official intervention some cross country evidence
144967,1994,applied economics,exports and economic growth in asian nics:  an econometric analysis for korea,exports and economic growth in asian nics an econometric analysis for korea
144968,1994,applied economics,"accounting for supply, integration and income in foreign trade",accounting for supply integration and income in foreign trade
144970,1994,applied economics,market structure and the effectiveness of monetary policy:  a cross-industry study,market structure and the effectiveness of monetary policy a crossindustry study
144971,1994,applied economics,government spending and economic growth,government spending and economic growth
144972,1994,applied economics,profit sharing and standard setting in production and procurement management,profit sharing and standard setting in production and procurement management
144973,1994,applied economics,gravity models:  a reformulation and an application to discriminatory trade arrangements,gravity models a reformulation and an application to discriminatory trade arrangements
144974,1994,applied economics,concentration and the inter-industry wage structure:  the israeli manufacturing sector,concentration and the interindustry wage structure the israeli manufacturing sector
144975,1994,applied economics,the role of legal status in influencing bank financing and new firm growth,the role of legal status in influencing bank financing and new firm growth
144976,1994,applied economics,allocation and wage structure:  differences between men and women,allocation and wage structure differences between men and women
144977,1994,applied economics,structural change in the uk 1974-84:  an input-output analysis,structural change in the uk 197484 an inputoutput analysis
144978,1994,applied economics,an analysis of bilateral intra-industry trade in the food processing sector,an analysis of bilateral intraindustry trade in the food processing sector
144979,1994,applied economics,was the money demand during the german hyperinflation time varying?,was the money demand during the german hyperinflation time varying
144980,1994,applied economics,international evidence on breaking trend functions in macroeconomic variables,international evidence on breaking trend functions in macroeconomic variables
144982,1994,applied economics,self-employment in the midst of unemployment:  the case of spain and the united states,selfemployment in the midst of unemployment the case of spain and the united states
144983,1994,applied economics,job matching and women's wage-tenure profile,job matching and womens wagetenure profile
144984,1994,applied economics,a re-examination of the demand for money in small developing economies,a reexamination of the demand for money in small developing economies
144985,1994,applied economics,employers' provision of pensions and sick pay:  evidence from the 1990 workplace industrial relations survey,employers provision of pensions and sick pay evidence from the 1990 workplace industrial relations survey
144986,1994,applied economics,an empirical test of the effects of government deficits on money demand,an empirical test of the effects of government deficits on money demand
144987,1994,applied economics,cointegration and market efficiency in commodities futures markets,cointegration and market efficiency in commodities futures markets
144988,1994,applied economics,new evidence on public sector wage differentials,new evidence on public sector wage differentials
144990,1994,applied economics,married women's hours and participation revisited,married womens hours and participation revisited
144997,1994,british journal of industrial relations,annual review article 1993:  british public sector industrial relations,annual review article 1993 british public sector industrial relations
145058,1994,contemporary economic policy,keiretsu shareholding ties:  antitrust issues,keiretsu shareholding ties antitrust issues
145064,1994,contemporary economic policy,caseload impacts of welfare reform,caseload impacts of welfare reform
145067,1994,contemporary economic policy,changes in water allocation mechanisms for california agriculture,changes in water allocation mechanisms for california agriculture
145089,1994,econometrica,"the utility theorems of wold, debreu, and arrow-hahn",the utility theorems of wold debreu and arrowhahn
145097,1994,econometrica,identification and estimation of local average treatment effects,identification and estimation of local average treatment effects
145098,1994,economic development and cultural change,the political economy of inflation and stabilization in developing countries,the political economy of inflation and stabilization in developing countries
145099,1994,economic development and cultural change,an atheoretic evaluation of success in structural adjustment,an atheoretic evaluation of success in structural adjustment
145101,1994,economic development and cultural change,housing finance in developing countries:  the role of credible contracts,housing finance in developing countries the role of credible contracts
145102,1994,economic development and cultural change,the effect of taxation on labor supply in a developing country: evidence from cross-sectional data,the effect of taxation on labor supply in a developing country evidence from crosssectional data
145103,1994,economic development and cultural change,male-female wage differentials in taiwan:  a human capital approach,malefemale wage differentials in taiwan a human capital approach
145104,1994,economic development and cultural change,agricultural surplus models and peasant behavior:  soviet agriculture in the 1920s,agricultural surplus models and peasant behavior soviet agriculture in the 1920s
145105,1994,economic development and cultural change,do high food marketing costs constrain cash crop production? evidence from zimbabwe,do high food marketing costs constrain cash crop production evidence from zimbabwe
145106,1994,economic development and cultural change,research and development expenditures and economic growth:  a cross-country study,research and development expenditures and economic growth a crosscountry study
145107,1994,economic development and cultural change,foreign direct investment in a centrally planned economy: lessons from china:  comment,foreign direct investment in a centrally planned economy lessons from china comment
145108,1994,economic development and cultural change,property rights and the evolution of foreign direct investment in a centrally planned developing economy:  reply,property rights and the evolution of foreign direct investment in a centrally planned developing economy reply
145110,1994,economic geography,evolution of a retail market area:  an event-history model of spatial diffusion,evolution of a retail market area an eventhistory model of spatial diffusion
145111,1994,economic geography,the geographies of just-in-time:  japanese investment and the automotive components industry in western europe,the geographies of justintime japanese investment and the automotive components industry in western europe
145136,1994,economic inquiry,in search of giffen behavior:  comment,in search of giffen behavior comment
145138,1994,economic inquiry,more on the search for giffen goods,more on the search for giffen goods
145180,1994,economica,"entrepreneurs, growth and cycles",entrepreneurs growth and cycles
145183,1994,economica,"insider power, unemployment dynamics and multiple inflation equilibria",insider power unemployment dynamics and multiple inflation equilibria
145235,1994,european economic review,a monopoly-union model of wage determination with capital and taxes:  an empirical application to the finnish manufacturing,a monopolyunion model of wage determination with capital and taxes an empirical application to the finnish manufacturing
145243,1994,explorations in economic history,"a failed institutional transplant:  raiffeisen's credit cooperatives in ireland, 1894-1914",a failed institutional transplant raiffeisens credit cooperatives in ireland 18941914
145247,1994,explorations in economic history,"cane contracting and renegotiation:  a fixed effects analysis of the adoption of new technologies in the cuban sugar industry, 1899-1929",cane contracting and renegotiation a fixed effects analysis of the adoption of new technologies in the cuban sugar industry 18991929
145249,1994,explorations in economic history,prices in interwar britain,prices in interwar britain
145316,1994,industrial relations,"equal employment opportunity and the ""managerial woman"" in japan",equal employment opportunity and the managerial woman in japan
145360,1994,international organization,origins of the european bank for reconstruction and development,origins of the european bank for reconstruction and development
145376,1994,journal of agricultural economics,utilitarian and rights-based alternatives for protecting sites of special scientific interest,utilitarian and rightsbased alternatives for protecting sites of special scientific interest
145387,1994,journal of the american statistical association,statistics as a profession,statistics as a profession
145389,1994,journal of the american statistical association,models for categorical data with nonignorable nonresponse,models for categorical data with nonignorable nonresponse
145392,1994,journal of the american statistical association,fitting heteroscedastic regression models,fitting heteroscedastic regression models
145395,1994,journal of the american statistical association,a simple dynamic graphical diagnostic method for almost any model,a simple dynamic graphical diagnostic method for almost any model
145402,1994,journal of applied econometrics,"economic fluctuations, market power, and returns to scale: evidence from firm-level data",economic fluctuations market power and returns to scale evidence from firmlevel data
145409,1994,journal of banking and finance,an empirical investigation of the role of indenture provisions in determining bond ratings,an empirical investigation of the role of indenture provisions in determining bond ratings
145432,1994,journal of business and economic statistics,nonlinear monetary dynamics:  comment,nonlinear monetary dynamics comment
145437,1994,journal of business and economic statistics,the statistical properties of the equity estimator:  a rejoinder,the statistical properties of the equity estimator a rejoinder
145438,1994,journal of business and economic statistics,the statistical properties of the equity estimator:  reply to rejoinder,the statistical properties of the equity estimator reply to rejoinder
145471,1994,journal of consumer research,exploring language effects in ethnic advertising:  a sociolinguistic perspective,exploring language effects in ethnic advertising a sociolinguistic perspective
145484,1994,journal of development economics,"new goods, old theory, and the welfare costs of trade restrictions",new goods old theory and the welfare costs of trade restrictions
145503,1994,journal of econometrics,an empirical bayes approach to analyzing earnings functions for various occupations and industries,an empirical bayes approach to analyzing earnings functions for various occupations and industries
145516,1994,journal of econometrics,the distribution of the durbin-watson statistic in integrated and near-integrated models,the distribution of the durbinwatson statistic in integrated and nearintegrated models
145562,1994,journal of economic literature,the production and consumption of the arts:  a view of cultural economics,the production and consumption of the arts a view of cultural economics
145563,1994,journal of economic literature,"the cowles commission's contributions to econometrics at chicago, 1939-1955",the cowles commissions contributions to econometrics at chicago 19391955
145565,1994,journal of economic literature,game theory for central bankers:  a report to the governor of the bank of england,game theory for central bankers a report to the governor of the bank of england
145583,1994,journal of economic psychology,behavior analysis and consumer psychology,behavior analysis and consumer psychology
145661,1994,journal of financial and quantitative analysis,an empirical examination of dividend policy following debt issues,an empirical examination of dividend policy following debt issues
145767,1994,journal of labor research,the effect of unionization on faculty salaries and compensation,the effect of unionization on faculty salaries and compensation
145775,1994,journal of the japanese and international economies,international trade and investment under different rates of time preference,international trade and investment under different rates of time preference
145862,1994,journal of regional science,reevaluating the 'procompetitive' effects of hmos:  a spatial equilibrium approach,reevaluating the procompetitive effects of hmos a spatial equilibrium approach
145869,1994,journal of risk and uncertainty,cross-country analyses don't estimate health-health responses,crosscountry analyses dont estimate healthhealth responses
145890,1994,journal of urban economics,housing market dynamics and the future  of housing prices,housing market dynamics and the future of housing prices
145892,1994,journal of urban economics,optimal location and production:  a profit function analysis in cartesian space,optimal location and production a profit function analysis in cartesian space
145893,1994,journal of urban economics,"condominium covenants:  cats, yes; dogs, no",condominium covenants cats yes dogs no
145898,1994,journal of urban economics,the effect of long-term rent control on tenant mobility,the effect of longterm rent control on tenant mobility
145960,1994,monthly labor review,collective bargaining in 1994,collective bargaining in 1994
145961,1994,monthly labor review,labor-management bargaining in 1993,labormanagement bargaining in 1993
145962,1994,monthly labor review,state labor legislation enacted in 1993,state labor legislation enacted in 1993
145963,1994,monthly labor review,workers' compensation laws:  significant changes in 1993,workers compensation laws significant changes in 1993
145964,1994,monthly labor review,changes in unemployment insurance legislation in 1993,changes in unemployment insurance legislation in 1993
145965,1994,monthly labor review,the labor market improves in 1993,the labor market improves in 1993
145966,1994,monthly labor review,work at home:  data from the cps,work at home data from the cps
145967,1994,monthly labor review,"factors affecting the international softwood lumber market, 1987-93",factors affecting the international softwood lumber market 198793
145969,1994,monthly labor review,employee benefits for union and nonunion workers,employee benefits for union and nonunion workers
145970,1994,monthly labor review,the development and growth of employer-provided health insurance,the development and growth of employerprovided health insurance
145971,1994,monthly labor review,difficulties in the measurement of service outputs,difficulties in the measurement of service outputs
145972,1994,monthly labor review,characteristics of self-employed women in the united states,characteristics of selfemployed women in the united states
145983,1994,national tax journal,international aspects of corporate tax integration:  the contrasting role of debt and equity flows,international aspects of corporate tax integration the contrasting role of debt and equity flows
145985,1994,national tax journal,state lottery sales and economic activity,state lottery sales and economic activity
145987,1994,national tax journal,fiscal equalization and school finance,fiscal equalization and school finance
145988,1994,national tax journal,fiscal equalization:  an empty box?,fiscal equalization an empty box
145989,1994,national tax journal,the case for equalizing aid,the case for equalizing aid
146002,1994,oxford bulletin of economics and statistics,a model of the distribution of prices,a model of the distribution of prices
146006,1994,oxford bulletin of economics and statistics,identifying cointegrating regressions by the rank condition,identifying cointegrating regressions by the rank condition
146018,1994,oxford review of economic policy,the reform of legal aid,the reform of legal aid
146020,1994,oxford review of economic policy,tort reform:  the case of medical malpractice,tort reform the case of medical malpractice
146043,1994,public choice,representation as agency and the pork barrel paradox,representation as agency and the pork barrel paradox
146044,1994,public choice,a spatial analysis of winning and losing motions in the u.s. senate 1979-1981,a spatial analysis of winning and losing motions in the us senate 19791981
146045,1994,public choice,coalitions in congressional voting,coalitions in congressional voting
146046,1994,public choice,the effect of information on voting behavior and electoral outcomes:  an experimental study of direct legislation,the effect of information on voting behavior and electoral outcomes an experimental study of direct legislation
146047,1994,public choice,some properties  of hare voting with strategic voters,some properties of hare voting with strategic voters
146049,1994,public choice,a note on crime and punishment,a note on crime and punishment
146052,1994,public choice,a comparison of incumbent security in the house and senate,a comparison of incumbent security in the house and senate
146054,1994,public choice,rent seeking and hidden in-kind resource distortion:  some empirical evidence,rent seeking and hidden inkind resource distortion some empirical evidence
146055,1994,public choice,more on measuring budget-related rent-seeking:  a comment,more on measuring budgetrelated rentseeking a comment
146056,1994,public choice,rent-seeking:  a trivial or serious problem?  a reply,rentseeking a trivial or serious problem a reply
146058,1994,public choice,private and public choices in public education:  an investigation of trustee effects,private and public choices in public education an investigation of trustee effects
146069,1994,public choice,technical progress in bureaucracies,technical progress in bureaucracies
146071,1994,public choice,federalism and the growth of government revisited,federalism and the growth of government revisited
146122,1994,rand journal of economics,inventories and the short-run dynamics of commodity prices,inventories and the shortrun dynamics of commodity prices
146132,1994,regional studies,achieving coherence in european community approaches to area designation,achieving coherence in european community approaches to area designation
146133,1994,regional studies,conservation as a component of urban regeneration,conservation as a component of urban regeneration
146134,1994,regional studies,the city challenge initiative:  an overview and preliminary assessment,the city challenge initiative an overview and preliminary assessment
146218,1994,social choice and welfare,arrow's paradox and mathematical theory of democracy,arrows paradox and mathematical theory of democracy
146246,1994,urban studies,housing prices and geographical scale:  australian cities in the 1980s,housing prices and geographical scale australian cities in the 1980s
146261,1994,urban studies,assessing urban planning schemes by means of multi-criteria evaluation techniques:  the case of pedestrianisation,assessing urban planning schemes by means of multicriteria evaluation techniques the case of pedestrianisation
146269,1994,world bank research observer,reforming finance in transitional socialist economies,reforming finance in transitional socialist economies
146270,1994,world bank research observer,how do market failures justify interventions in rural credit markets?,how do market failures justify interventions in rural credit markets
146272,1994,world bank research observer,animal health services:  finding the balance between public and private delivery,animal health services finding the balance between public and private delivery
146273,1994,world bank research observer,the roles of the private and public sectors in enhancing the performance of seed systems,the roles of the private and public sectors in enhancing the performance of seed systems
146281,1994,world development,"water markets, market reform and the urban poor:  results from jakarta, indonesia",water markets market reform and the urban poor results from jakarta indonesia
146285,1994,world economy,"evolving patterns of north american merchandise trade and foreign direct investment, 1960-1990",evolving patterns of north american merchandise trade and foreign direct investment 19601990
146286,1994,world economy,differences between explicit and  ad valorem barrier representations in analyses of the effects of north american economic integration,differences between explicit and ad valorem barrier representations in analyses of the effects of north american economic integration
146288,1994,world economy,canada-united states free trade and investment,canadaunited states free trade and investment
146290,1994,world economy,do japanese firms price discriminate in north america?,do japanese firms price discriminate in north america
146291,1994,world economy,"competition, competition policy and the gatt",competition competition policy and the gatt
146292,1994,world economy,"industrial countries' protectionism with respect to eastern europe:  the impact of the association agreements concluded with the ec on the exports of poland, czechoslovakia and hungary",industrial countries protectionism with respect to eastern europe the impact of the association agreements concluded with the ec on the exports of poland czechoslovakia and hungary
146295,1994,world economy,engines of growth--the export and government sectors,engines of growththe export and government sectors
146296,1994,world economy,the ec internal banana market:  the issues and the dilemma,the ec internal banana market the issues and the dilemma
146306,1994,yale law journal,rethinking informed consent,rethinking informed consent
146332,1994,american political science review,democracy and the peaceful settlement of international conflict,democracy and the peaceful settlement of international conflict
146333,1994,american political science review,electoral competition with informed and uninformed voters,electoral competition with informed and uninformed voters
146334,1994,american political science review,shortcuts versus encyclopedias:  information and voting behavior in california insurance reform elections,shortcuts versus encyclopedias information and voting behavior in california insurance reform elections
146335,1994,american political science review,fiscal constraints and electoral manipulation in american social welfare,fiscal constraints and electoral manipulation in american social welfare
146336,1994,american political science review,the reverse coattails effect:  local party organization in the 1989 brazilian presidential election,the reverse coattails effect local party organization in the 1989 brazilian presidential election
146337,1994,american political science review,the presthus debacle:  intraparty politics and bargaining failure in norway,the presthus debacle intraparty politics and bargaining failure in norway
146338,1994,american political science review,social choice in a representative democracy,social choice in a representative democracy
146339,1994,american political science review,individual and contextual variations in political candidate appraisal,individual and contextual variations in political candidate appraisal
146539,1994,small business economics,the geography of innovation in small and medium-sized firms in west germany,the geography of innovation in small and mediumsized firms in west germany
146540,1994,small business economics,board-management relations in small firms:  the paradox of simultaneous independence and interdependence,boardmanagement relations in small firms the paradox of simultaneous independence and interdependence
146547,1994,aer pandp,methodological individualism and social knowledge,methodological individualism and social knowledge
146548,1994,aer pandp,time-series evidence on the sources of trends in wage inequality,timeseries evidence on the sources of trends in wage inequality
146549,1994,aer pandp,regional labor markets and the determinants of wage inequality,regional labor markets and the determinants of wage inequality
146551,1994,aer pandp,changing wage structure and black-white wage differentials,changing wage structure and blackwhite wage differentials
146552,1994,aer pandp,the dynamics of poverty spells:  updating bane and ellwood,the dynamics of poverty spells updating bane and ellwood
146553,1994,aer pandp,"welfare dependence:  concepts, measures, and trends",welfare dependence concepts measures and trends
146554,1994,aer pandp,has the decline in benefits shortened welfare spells?,has the decline in benefits shortened welfare spells
146555,1994,aer pandp,short-term recidivism among public-assistance recipients,shortterm recidivism among publicassistance recipients
146556,1994,aer pandp,low-wage employment subsidies versus the welfare state,lowwage employment subsidies versus the welfare state
146557,1994,aer pandp,wage distribution and unemployment:  the french experience,wage distribution and unemployment the french experience
146558,1994,aer pandp,converting unemployment benefits into employment subsidies,converting unemployment benefits into employment subsidies
146559,1994,aer pandp,the welfare state and the employment problem,the welfare state and the employment problem
146560,1994,aer pandp,curing child poverty in the united states,curing child poverty in the united states
146561,1994,aer pandp,the child-support revolution,the childsupport revolution
146562,1994,aer pandp,children as public goods,children as public goods
146565,1994,aer pandp,litigation of employment discrimination under title vii:  the case of african-american women,litigation of employment discrimination under title vii the case of africanamerican women
146567,1994,aer pandp,changes in wage-and-salary returns to skill and the recent rise in female self-employment,changes in wageandsalary returns to skill and the recent rise in female selfemployment
146568,1994,aer pandp,"a child-support assurance program:  how much will it reduce child poverty, and at what cost?",a childsupport assurance program how much will it reduce child poverty and at what cost
146569,1994,aer pandp,"housework, wages, and the division of housework time for employed spouses",housework wages and the division of housework time for employed spouses
146570,1994,aer pandp,"i, thou, and them:  capabilities, altruism, and norms in the economics of marriage",i thou and them capabilities altruism and norms in the economics of marriage
146571,1994,aer pandp,noncooperative bargaining models of marriage,noncooperative bargaining models of marriage
146572,1994,aer pandp,the creation of domestic currencies,the creation of domestic currencies
146573,1994,aer pandp,rethinking economics through a feminist lens,rethinking economics through a feminist lens
146574,1994,aer pandp,for better or worse:  the roles of power in models of distribution within marriage,for better or worse the roles of power in models of distribution within marriage
146575,1994,aer pandp,"feminist thought and economics:  or, what do the visigoths know?",feminist thought and economics or what do the visigoths know
146576,1994,aer pandp,"when can government subsidize research joint ventures?  politics, economics, and limits to technology policy",when can government subsidize research joint ventures politics economics and limits to technology policy
146577,1994,aer pandp,the political economy of insider-trading laws,the political economy of insidertrading laws
146578,1994,aer pandp,does electoral uncertainty cause economic fluctuations?,does electoral uncertainty cause economic fluctuations
146579,1994,aer pandp,expanding the life-cycle model:  precautionary saving and public policy,expanding the lifecycle model precautionary saving and public policy
146580,1994,aer pandp,targeted retirement saving and the net worth of elderly americans,targeted retirement saving and the net worth of elderly americans
146581,1994,aer pandp,psychology and savings policies,psychology and savings policies
146582,1994,aer pandp,achievement differences on multiple-choice and essay tests in economics,achievement differences on multiplechoice and essay tests in economics
146583,1994,aer pandp,graphs and learning in principles of economics,graphs and learning in principles of economics
146584,1994,aer pandp,the lake wobegon effect in student self-reported data,the lake wobegon effect in student selfreported data
146585,1994,aer pandp,does more calculus improve student learning in intermediate micro and macro economic theory?,does more calculus improve student learning in intermediate micro and macro economic theory
146586,1994,aer pandp,"poverty, incentives, and development",poverty incentives and development
146587,1994,aer pandp,poverty and illness in low-income rural areas,poverty and illness in lowincome rural areas
146588,1994,aer pandp,poverty and vulnerability,poverty and vulnerability
146589,1994,aer pandp,choosing a welfare indicator,choosing a welfare indicator
146591,1994,aer pandp,human development:  a new paradigm or reinvention of the wheel?,human development a new paradigm or reinvention of the wheel
146592,1994,aer pandp,"poverty, human development, and growth:  an emerging consensus?",poverty human development and growth an emerging consensus
146593,1994,aer pandp,the interaction of population growth and environmental quality,the interaction of population growth and environmental quality
146594,1994,aer pandp,"human capital, family planning, and their effects on population growth",human capital family planning and their effects on population growth
146595,1994,aer pandp,"population, poverty, and policies",population poverty and policies
146596,1994,aer pandp,chinese institutional innovation and privatization from below,chinese institutional innovation and privatization from below
146597,1994,aer pandp,"chinese industrial reform:  accomplishments, prospects, and implications",chinese industrial reform accomplishments prospects and implications
146598,1994,aer pandp,social security in present-day china and its reform,social security in presentday china and its reform
146599,1994,aer pandp,chinese rural poverty:  marginalized or dispersed?,chinese rural poverty marginalized or dispersed
146600,1994,aer pandp,"on economic reform, poverty, and nutrition in africa",on economic reform poverty and nutrition in africa
146601,1994,aer pandp,economic reform and social welfare:  the case of nutrition in sri lanka,economic reform and social welfare the case of nutrition in sri lanka
146602,1994,aer pandp,"poverty, food consumption, and nutrition during the transition to the market economy in eastern europe",poverty food consumption and nutrition during the transition to the market economy in eastern europe
146603,1994,aer pandp,the great irish famine and population:  the long view,the great irish famine and population the long view
146604,1994,aer pandp,the economic impact of the famine in the short and long run,the economic impact of the famine in the short and long run
146605,1994,aer pandp,invisible-hand explanations,invisiblehand explanations
146607,1994,aer pandp,visible and invisible governance,visible and invisible governance
146608,1994,aer pandp,better than rational:  evolutionary psychology and the invisible hand,better than rational evolutionary psychology and the invisible hand
146609,1994,aer pandp,the invisible hand and externalities,the invisible hand and externalities
146610,1994,aer pandp,direct democracy:  politico-economic lessons from swiss experience,direct democracy politicoeconomic lessons from swiss experience
146611,1994,aer pandp,the on-and-off connection between political and economic progress,the onandoff connection between political and economic progress
146612,1994,aer pandp,capacities and limits of democracy,capacities and limits of democracy
146613,1994,aer pandp,when inequalities diverge,when inequalities diverge
146614,1994,aer pandp,measuring social welfare with and without poverty lines,measuring social welfare with and without poverty lines
146615,1994,aer pandp,normative measurement:  is theory relevant?,normative measurement is theory relevant
146616,1994,aer pandp,international comparisons of poverty,international comparisons of poverty
146617,1994,aer pandp,bosses of different stripes:  a cross-national perspective on monitoring and supervision,bosses of different stripes a crossnational perspective on monitoring and supervision
146618,1994,aer pandp,"supervision, discretion, and work organization",supervision discretion and work organization
146619,1994,aer pandp,the formulation of rational choice,the formulation of rational choice
146621,1994,aer pandp,"preference, belief, and welfare",preference belief and welfare
146622,1994,aer pandp,rationality as self-interest versus rationality as present aims,rationality as selfinterest versus rationality as present aims
146623,1994,aer pandp,inductive reasoning and bounded rationality,inductive reasoning and bounded rationality
146624,1994,aer pandp,complex landscapes in economic geography,complex landscapes in economic geography
146625,1994,aer pandp,self-organized criticality and economic fluctuations,selforganized criticality and economic fluctuations
146626,1994,aer pandp,trade-off theory,tradeoff theory
146627,1994,aer pandp,"social diversity, arbitrage, and gains from trade:  a unified perspective on resource allocation",social diversity arbitrage and gains from trade a unified perspective on resource allocation
146628,1994,aer pandp,"rights, welfarism, and social choice",rights welfarism and social choice
146629,1994,aer pandp,information and intergroup transfers,information and intergroup transfers
146630,1994,aer pandp,social-choice mediators,socialchoice mediators
146631,1994,aer pandp,can a ranking of opportunity sets attach an intrinsic importance to freedom of choice?,can a ranking of opportunity sets attach an intrinsic importance to freedom of choice
146632,1994,american economic review,economic performance through time,economic performance through time
146633,1994,american economic review,"economic growth, population theory, and physiology:  the bearing of long-term processes on the making of economic policy",economic growth population theory and physiology the bearing of longterm processes on the making of economic policy
146647,1994,american economic review,the loser's curse,the losers curse
146648,1994,american economic review,a note on sequential auctions,a note on sequential auctions
146649,1994,american economic review,the nature of salience:  an experimental investigation of pure coordination games,the nature of salience an experimental investigation of pure coordination games
146650,1994,american economic review,an analysis of the correlates of discrimination facing young hispanic job-seekers,an analysis of the correlates of discrimination facing young hispanic jobseekers
