title,journal,authors,year
Health and Female Self-Empowerment.," Journal of Small Business Management 41,3 ","Dolinsky, Arthur Lewis and Richard K. Caputo. ",2003
Psychological and Demographic Characteristics as Determinants of Women's Health Insurance Coverage.," Journal of Consumer Affairs 31,2 ","Dolinsky, Arthur Lewis and Richard K. Caputo. ",1997
Competing Effects of Culture and Situation on Welfare Receipt.," Social Service Review 63,3 ","Dolinsky, Arthur Lewis, Richard K. Caputo and Patrick O'Kane. ",1989
Effects of Education on Business Ownership: a Longitudinal Study of Women.," Entrepreneurship Theory and Practice 18,1 ","Dolinsky, Arthur Lewis, Richard K. Caputo and Kishore Pasumarty. ",1993
Long-Term Entrepreneurship Patterns: A National Study of Black and White Female Entry and Stayer Status Differences.," Journal of Small Business Management 32,1 ","Dolinsky, Arthur Lewis, Richard K. Caputo and Kishore Pasumarty. ",1994
"Understanding Why Students Drop Out of High School, According to Their Own Reports: Are They Pushed or Pulled, or Do They Fall Out? A Comparative Analysis of Seven Nationally Representative Studies."," SAGE Open 3,4 ","Doll, Jonathan Jacob, Zohreh Eslami and Lynne Walters. ",2013
Leveling the Home Advantage: Assessing the Effectiveness of Parental Involvement in Elementary School.," Sociology of Education 78,3 ","Domina, Thurston. ",2005
Why Do Unionized Workers Have More Nonfatal Occupational Injuries?, Industrial and Labor Relations ,"Donado, Alejandro. ",ILR
Psychosocial Predictors of Adolescent Sexual Risk Behavior: A Quasi-Experimental Analysis in a Nationally Representative Sample of American Youths.," Journal of Adolescent Health 54,2 ","Donahue, Kelly L., Carol A. Van Hulle, Joseph Lee Rodgers and Brian M. D'Onofrio. ",2014
Educational Achievement of U.S. Puerto Ricans.," New England Journal of Public Policy 11,2 ","Donato, Katharine M. and Roger A. Wojtkiewicz. ",1996
Longitudinal Heterogeneity in Handgun-Carrying Behavior Among Urban American Youth: Intervention Priorities at Different Life Stages.," Journal of Adolescent Health 64,4 ","Dong, Beidi, Sara F. Jacoby, Christopher N. Morrison and Douglas J. Wiebe. ",2019
Violence and Beyond: Life-course Features of Handgun Carrying in the Urban United States and the Associated Long-term Life Consequences., Journal of Criminal Justice 54 ,"Dong, Beidi and Douglas J. Wiebe. ",2018
Individual Risk Preference and Sector Choice: Are Risk-Averse Individuals More Likely to Choose Careers in the Public Sector?," Administration and Society 49,8 ","Dong, Hsiang-Kai Dennis. ",2017
The Effects of Individual Risk Propensity on Volunteering.," Nonprofit Management and Leadership 26,1 ","Dong, Hsiang-Kai Dennis. ",2015
"Long Workhours, Work Scheduling and Work Related Injuries Among Construction Workers in the United States ."," Scandinavian Journal of work, Environment and Health 31,5 ","Dong, Xiuwen. ",2005
"Job Exposures, Health Behaviours, and Work-related Injuries among young Construction Workers in the United States: a 12-year Follow-up Study."," Occupational and Environmental Medicine 71,S1 ","Dong, Xiuwen Sue, Xuanwen Wang and Julie Largay. ",2014
Occupational and Non-occupational Factors Associated with Work-related Injuries among Construction Workers in the USA .," International Journal of Occupational and Environmental Health 21,2 ","Dong, Xiuwen Sue, Xuanwen Wang and Julie Largay. ",2015
Economic Consequences of Workplace Injuries in the United States: Findings from the National Longitudinal Survey of Youth (NLSY79).," American Journal of Industrial Medicine, 59,2 ","Dong, Xiuwen Sue, Xuanwen Wang, Julie Largay and Rosemary Sokas. ",2016
Long-term Health Outcomes of Work-related Injuries among Construction Workers--Findings from the National Longitudinal Survey of Youth.," American Journal of Industrial Medicine 58,3 ","Dong, Xiuwen Sue, Xuanwen Wang, Julie Largay and Rosemary Sokas. ",2015
"Residential Mobility, Neighborhood Effects, and Educational Attainment of Blacks and Whites."," Econometric Reviews 34, 6-10 ","Dong, Yan, Li Gan and Yingning Wang. ",2015
Job Satisfaction and Gender: An Expanded Specification from the NLSY.," International Journal of Manpower 25,2 ","Donohue, Susan M. and John S. Heywood. ",2004
Birth Weight and Mothers' Adverse Employment Change.," Journal of Health and Social Behavior 46,2 ","Dooley, David and JoAnn Prause. ",2005
Effect of Favorable Employment Change on Alcohol Abuse: One- and Five-Year Follow-Ups in The National Longitudinal Survey of Youth.," American Journal of Community Psychology 25,6 ","Dooley, David and JoAnn Prause. ",1997
Effect of Students' Self-Esteem on Later Employment Status: Interactions of Self-Esteem with Gender and Race.," Applied Psychology: An International Review 46,2 ","Dooley, David and JoAnn Prause. ",1997
Effect of Unemployment on School Leavers' Self-Esteem.," Journal of Occupational and Organizational Psychology 68,3 ","Dooley, David and JoAnn Prause. ",1995
Mental Health and Welfare Transitions: Depression and Alcohol Abuse in AFDC Women.," American Journal of Community Psychology 30,6 ","Dooley, David and JoAnn Prause. ",2002
Predictors of Early Alcohol Drinking Onset.," Journal of Child and Adolescent Substance Abuse 16,2 ","Dooley, David and JoAnn Prause. ",2006
Underemployment and Alcohol Misuse in the National Longitudinal Survey of Youth.," Journal of Studies on Alcohol 59,6 ","Dooley, David and JoAnn Prause. ",1998
Underemployment and Depression: Longitudinal Relationships.," Journal of Health and Social Behavior 41,4 ","Dooley, David, JoAnn Prause and Kathleen A. Ham-Rowbottom. ",2000
Age of Alcohol Drinking Onset Precursors and the Mediation of Alcohol Disorder.," Journal of Child and Adolescent Substance Abuse 15,2 ","Dooley, David, JoAnn Prause, Kathleen A. Ham-Rowbottom and Nicholas P. Emptage. ",2006
Gender in the Labor Market: The Role of Equal Opportunity and Family-Friendly Policies.," RSF: The Russell Sage Foundation Journal of the Social Sciences 5,5: Improving Employment and Earnings in Twenty-First Century Labor Markets ","Doran, Elizabeth L., Ann P. Bartel and Jane Waldfogel. ",2019
Timing of First Alcohol Use and First Sex in Male and Female Adolescents.," Journal of Adolescent Health 61,5 ","Doran, Kelly A. and Mary Waldron. ",2017
Is Two Too Many? Parity and Mothers' Labor Force Exit.," Journal of Marriage and Family 81,2 ","Doren, Catherine. ",2019
What Skills Can Buy: Transmission of Advantage through Cognitive and Noncognitive Skills.," Sociology of Education 89,4 ","Doren, Catherine and Eric Grodsky. ",2016
Do the Stereotypes fit? Mapping Gender-Specific Outcomes and Risk Factors.," Criminology 30,3 ","Dornfeld, Maude and Candace Kruttschnitt. ",1992
For This I Waited? One in Eight Working Women Who Are Promoted Does Not Receive a Pay Increase.," American Demographics 16,10 ","Dortch, Shannon. ",1994
Born in the Family: Preferences for Boys and the Gender Gap in Math., Journal of Economic Behavior and Organization 183 ,"Dossi, Gaia, David N. Figlio, Paola Giuliano and Paola Sapienza. ",2021
"Numeracy, Literacy and Earnings: Evidence from the National Longitudinal Survey of Youth."," Economics of Education Review 22,5 ","Dougherty, Christopher. ",2003
"Occupational Breaks, their Incidence and Implications for Training Provision: Case-Study Evidence from the National Longitudinal Survey of Youth."," International Journal of Manpower 20,5 ","Dougherty, Christopher. ",1999
The Marriage Earnings Premium as a Distributed Fixed Effect .," Journal of Human Resources 41,2 ","Dougherty, Christopher. ",2006
Why Are Returns to Schooling Higher for Women than for Men?," Journal of Human Resources 40,4 ","Dougherty, Christopher. ",2005
"Much Ado About Siblings: Change Models, Sibship Size, and Intellectual Development: Comment on Guo and VanWey."," American Sociological Review 64,2 ","Downey, Douglas B., Brian Powell, Lala Carr Steelman and Shana Pribesh. ",1999
Does Postsecondary Education Result in Civic Benefits?," Journal of Higher Education 88,6 ","Doyle, William R. and Benjamin T. Skinner. ",2017
Estimating the Education-Earnings Equation Using Geographic Variation., Economics of Education Review 53 ,"Doyle, William R. and Benjamin T. Skinner. ",2016
Self-esteem and Earnings.," Journal of Economic Psychology 32,3 ","Drago, Francesco. ",2011
On the Relationship Between Welfare and Marital Stability: A Research Note.," Journal of Marriage and Family 43,2 ","Draper, Thomas W. ",1981
"Sons, Mothers, and Externality: Is There a Father Effect?"," Child Study Journal 12,4 ","Draper, Thomas W. ",1982
Simultaneity and Selection in Financial Hardship and Divorce., Review of Economics of the Household published online ,"Drewianka, Scott and Martin Erik Meder. ",2020
The Relationship of Welfare Receipt to Child Outcomes.," Journal of Family and Economic Issues 20,1 ","Driscoll, Anne K. and Kristin Anderson Moore. ",1999
Effects of Poverty and Quality of the Home Environment on Changes in the Academic and Behavioral Adjustment of Elementary School-Age Children.," Journal of Clinical Child Psychology 23,4 ","Dubow, Eric F. and Maria F. Ippolito. ",1994
Adjustment of Children Born to Teenage Mothers: The Contribution of Risk and Protective Factors.," Journal of Marriage and Family 52,2 ","Dubow, Eric F. and Thomas Luster. ",1990
Childhood Weight Status and Timing of First Substance Use in an Ethnically Diverse Sample., Drug and Alcohol Dependence 164 ,"Duckworth, Jennifer C., Kelly A. Doran and Mary Waldron. ",2016
Sexual Risk Behaviors during Adolescence: Associations with Childhood and Adolescent BMI., Empirical Research published online ,"Duckworth, Jennifer C., Leslie Rutkowski and Mary Waldron. ",2020
"Schooling, Skills, and Self-rated Health: A Test of Conventional Wisdom on the Relationship between Educational Attainment and Health."," Sociology of Education 89,3 ","Duke, Naomi and Ross Macmillan. ",2016
New Evidence of Generational Progress for Mexican Americans., Labour Economics 62 ,"Duncan, Brian, Jeffrey Grogger, Ana Sofia Leon and Stephen J. Trejo. ",2020
School Readiness and Later Achievement .," Developmental Psychology 43,6 ","Duncan, Greg J., Chantelle J. Dowsett, Amy Claessens, Katherine A. Magnuson, Aletha C. Huston, Pamela Kato Klebanov, Linda S. Pagani, Leon Feinstein, Mimi Engel, Jeanne Brooks-Gunn, Holly Sexton, Kathryn Duckworth and Crista Japel. ",2007
Maternal Age and Child Development.," Demography 55,6 ","Duncan, Greg J., Kenneth T. H. Lee, Maria Fernanda Rosales-Rueda and Ariel Kalil. ",2018
Can Family Socioeconomic Resources Account for Racial and Ethnic Test Score Gaps? .," The Future of Children 15,1 ","Duncan, Greg J. and Katherine A. Magnuson. ",2005
Sense of Efficacy and Subsequent Change in Earnings - A Replication.," Journal of Human Resources 16,4 ","Duncan, Greg J., James N. Morgan and Paul J. Andrisani. ",1981
Cleaning Up Their Act: The Effects of Marriage and Cohabitation on Licit and Illicit Drug Use.," Demography 43,4 ","Duncan, Greg J., Bessie Wilkerson and Paula A. England. ",2006
Wage Determination in the Union and Nonunion Sectors: A Sample Selectivity Approach.," Industrial and Labor Relations Review 34,1 ","Duncan, Gregory M. and Duane E. Leigh. ",1980
"Gender Differences in the Effect of Education on the Slope of Experience-Earnings Profiles: National Longitudinal Survey of Youth, 1979-1988."," American Journal of Economics and Sociology 55,4 ","Duncan, Kevin Craig. ",1996
Racial Disparity in Earnings and Earnings Growth: The Case of Young Men.," Social Science Journal 31,3 ","Duncan, Kevin Craig. ",1994
The Vintage Schooling Hypothesis and Racial Differences in Earnings and On-The-Job Training: A Longitudinal Analysis.," Review of Black Political Economy 20,3 ","Duncan, Kevin Craig. ",1992
Atrophy Rates for Intermittent Employment for Married and Never-Married Women: A Test of the Human Capital Theory of Occupational Sex Segregation.," Quarterly Review of Economics and Finance 32,1 ","Duncan, Kevin Craig and Mark J. Prus. ",1992
Starting Wages of Women in Female and Male Occupations: A Test of the Human Capital Explanation of Occupational Sex Segregation.," Social Science Journal 29,4 ","Duncan, Kevin Craig and Mark J. Prus. ",1992
"Marital Status, Children and Women's Labor Market Choices."," Journal of Socio-Economics 22,3 ","Duncan, Kevin Craig, Mark J. Prus and Jonathan Sandy. ",1993
Explaining the Performance Gap between Public and Private School Students.," Eastern Economic Journal 33,2 ","Duncan, Kevin Craig and Jonathan Sandy. ",2007
Using the Blinder-Oaxaca Decomposition Method to Measure Racial Bias in Achievement Tests.," Review of Black Political Economy 40,2 ","Duncan, Kevin and Jonathan Sandy. ",2013
The Influence of Grandparents in Single-Mother Families.," Journal of Marriage and Family 69,2 ","Dunifon, Rachel and Lori Kowaleski-Jones. ",2007
"Who's In the House? Race Differences in Cohabitation, Single Parenthood and Child Development."," Child Development 73,4 ","Dunifon, Rachel and Lori Kowaleski-Jones. ",2002
"Financial Capital, Human Capital, and the Transition to Self-Employment: Evidence from Intergenerational Links."," Journal of Labor Economics 18,2 ","Dunn, Thomas Albert and Douglas Holtz-Eakin. ",2000
Status Traps.," Journal of Business and Economic Statistics 35,2 ","Durlauf, Steven, Andros Kourtellos and Chih Ming Tan. ",2017
Thirty-day Smoking in Adolescence is a Strong Predictor of Smoking in Young Adulthood., Preventive Medicine 109 ,"Dutra, Lauren M. and Stanton A. Glantz. ",2018
"Religiosity Is Associated with a More Feminine Intelligence Profile: Evidence from the National Longitudinal Study of Youth, 1979.", Personality and Individual Differences 173 ,"Dutton, Edward and Gerhard Meisenberg. ",2021
"Gender, Debt, and Dropping Out of College."," Gender and Society 27,1 ","Dwyer, Rachel E., Randy Hodson and Laura McCloud. ",2013
"Youth Debt, Mastery, and Self-Esteem: Class-Stratified Effects of Indebtedness on Self-Concept ."," Social Science Research 40,3 ","Dwyer, Rachel E., Laura McCloud and Randy Hodson. ",2011
Mortgage Worries: Young Adults and the US Housing Crisis.," Socio-Economic Review 14,3 ","Dwyer, Rachel E., Lisa A. Neilson, Michael Nau and Randy Hodson. ",2016
Does Aid Matter? Measuring the Effect of Student Aid on College Attendance and Completion.," The American Economic Review 93,1 ","Dynarski, Susan M. ",2003
Using On-Line and CD-ROM Database Archives as an Adjunct to Teaching Survey Research Methods.," Behavior Research Methods, Instruments, and Computers 33,2 ","Eamon, Douglas B. ",2001
Antecedents and Socioemotional Consequences of Physical Punishment on Children in Two-Parent Families.," Child Abuse and Neglect 25, 6 ","Eamon, Mary Keegan. ",2001
Digital Divide in Computer Access and Use Between Poor and Non-Poor Youth.," Journal of Sociology and Social Welfare 31,2 ","Eamon, Mary Keegan. ",2004
Effects of Poverty on Mathematics and Reading Achievement of Young Adolescents.," Journal of Early Adolescence 22,1 ","Eamon, Mary Keegan. ",2002
Influences and Mediators of the Effect of Poverty on Young Adolescent Depressive Symptoms.," Journal of Youth and Adolescence 31,3 ","Eamon, Mary Keegan. ",2002
"Poverty, Parenting, Peer, and Neighborhood Influences on Young Adolescent Antisocial Behavior."," Journal of Social Service Research 28, 1 ","Eamon, Mary Keegan. ",2002
"Social-Demographic, School, Neighborhood, and Parenting Influences on the Academic Achievement of Latino Young Adolescents."," Journal of Youth and Adolescence 34,2 ","Eamon, Mary Keegan. ",2005
Structural Model of The Effects of Poverty on Externalizing and Internalizing Behaviors of Four- to Five-Year-Old Children.," Social Work Research 24,3 ","Eamon, Mary Keegan. ",2000
Can We Predict Disruptive School Behavior?," Children and Schools 26,1 ","Eamon, Mary Keegan and Sandra J. Altshuler. ",2004
Predicting Antisocial Behavior Among Latino Young Adolescents: An Ecological Systems Analysis.," American Journal of Orthopsychiatry 75,1 ","Eamon, Mary Keegan and Cray Mulder. ",2005
Maternal Depression and Physical Punishment as Mediators of the Effect of Poverty on Socioemotional Problems of Children in Single-Mother Families.," American Journal of Orthopsychiatry 71,2 ","Eamon, Mary Keegan and Rachel M. Zuehl. ",2001
What Causes Job Loss among Former Welfare Recipients: The Role of Family Health Problems.," Journal of the American Medical Women's Association 57,1 ","Earle, Alison and S. Jody Heymann. ",2002
"Is Time Preference and Present Bias Associated with the Decision to Start, Quit or Maintain Physical Activity over Time?", Journal of Public Health published online ,"Eberth, Barbara, Marjon van der Pol and Dmitri Kemenev. ",2020
Job and Wage Mobility with Minimum Wages and Imperfect Compliance.," Journal of Applied Econometrics 26,4 ","Eckstein, Zvi, Suqin Ge and Barbara Petrongolo. ",2011
Dynamic Labor Force Participation of Married Women and Endogenous Work Experience.," Review of Economic Studies 56,3 ","Eckstein, Zvi and Kenneth I. Wolpin. ",1989
Estimating a Market Equilibrium Search Model from Panel Data on Individuals.," Econometrica 58,4 ","Eckstein, Zvi and Kenneth I. Wolpin. ",1990
Estimating the Effect of Racial Discrimination on First Job Wage Offers.," Review of Economics and Statistics 81,3 ","Eckstein, Zvi and Kenneth I. Wolpin. ",1999
Rural Education and Training.," Rural Development Perspectives 10,3 ","Economic Research Service, Doa. ",1995
Do Attitudes and Personality Characteristics Affect Socioeconomic Outcomes? The Case of Welfare Use by Young Women.," Social Science Quarterly 82,4 ","Edwards, Mark Evan, Robert D. Plotnick and Marieka Marjorie Klawitter. ",2001
What Mom and Dad's Match Means for Junior: Marital Sorting and Child Outcomes., Labour Economics 40 ,"Edwards, Ryan D. and Jennifer Roff. ",2016
"Adolescent Psychological Distress, Unemployment, and the Great Recession: Evidence from the National Longitudinal Study of Youth 1997.", Social Science and Medicine 156 ,"Egan, Mark, Michael Daly and Liam Delaney. ",2016
Patterns of Adult Male Coresidence Among Young Children of Adolescent Mothers.," Family Planning Perspectives 22,5 ","Eggebeen, David J., Lisa J. Crockett and Alan J. Hawkins. ",1990
Minimum Wage Legislation and the Educational Outcomes of Youth., Research in Labor Economics 3 ,"Ehrenberg, Ronald G. and Alan J. Marcus. ",1980
Minimum Wages and Teenagers' Enrollment-Employment Outcomes: A Multinomial Logit Model.," Journal of Human Resources 17,1 ","Ehrenberg, Ronald G. and Alan J. Marcus. ",1982
Impacts of Unemployment Insurance on the Duration of Unemployment and the Post-Unemployment Wage.," Industrial Relations Research Association Series, Proceedings Twenty-Eighth Annual Meeting ","Ehrenberg, Ronald G. and Ronald L. Oaxaca. ",1976
"Unemployment Insurance, Duration of Unemployment, and Subsequent Wage Gain."," American Economic Review 66,5 ","Ehrenberg, Ronald G. and Ronald L. Oaxaca. ",1976
Fat City: Questioning the Relationship Between Urban Sprawl and Obesity .," Journal of Urban Economics 63,2 ","Eid, Jean, Henry G. Overman, Diego Puga and Matthew A. Turner. ",2008
The Generalized Roy Model and the Cost-Benefit Analysis of Social Programs.," Journal of Political Economy 123,2 ","Eisenhauer, Philipp, James J. Heckman and Edward Vytlacil. ",2015
Subpopulation Analyses of Current Youth Aptitudes.," Proceedings, Annual Conference of the Military Testing Association 2 ","Eitelberg, Mark J., Janice H. Laurence, Brian K. Waters and Wayne S. Sellman. ",1981
A Sibling-Comparison Study of Smoking During Pregnancy and Childhood Psychological Traits.," Behavior Genetics 44,1 ","Ellingson, Jarrod M., Jackson A. Goodnight, Carol A. Van Hulle, Irwin D. Waldman and Brian M. D'Onofrio. ",2014
"Impact of Work, Family, and Welfare Receipt on Women's Self-Esteem in Young Adulthood."," Social Psychology Quarterly 59,1 ","Elliott, Marta E. ",1996
The Determinants of Young Women's Wages: Comparing the Effects of Individual and Occupational Labor Market Characteristics.," Social Science Research 25,3 ","Elliott, Marta E. and Toby L. Parcel. ",1996
Association Between Parenthood and Problem Behavior in a National Sample of Adolescent Women.," Pediatrics 85,6 ","Elster, Arthur B., Robert D. Ketterlinus and Michael E. Lamb. ",1990
Association Between Behavioral and School Problems and Fatherhood in a National Sample of Adolescent Youths.," Journal of Pediatrics 111,6, Pt 1 ","Elster, Arthur B., Michael E. Lamb and Jane Tavare. ",1987
"Delinquent Behavior, Future Divorce or Nonmarital Childbearing, and Externalizing Behavior Among Offspring: A 14-Year Prospective Study."," Journal of Family Psychology 13,4 ","Emery, Robert E., Mary Waldron, Katherine M. Kitzmann and Jeffrey Aaron. ",1999
The Effect of Employment Frictions on Crime.," Journal of Labor Economics 28,3 ","Engelhardt, Bryan. ",2010
Labor Force Participation and Pair-wise Efficient Contracts with Search and Bargaining.," Labour Economics 19,3 ","Engelhardt, Bryan and David L. Fuller. ",2012
"Nominal Loss Aversion, Housing Equity Constraints, and Household Mobility: Evidence from the United States."," Journal of Urban Economics 53,1 ","Engelhardt, Gary V. ",2003
The Failure of Human Capital Theory to Explain Occupational Sex Segregation.," Journal of Human Resources 17,3 ","England, Paula A. ",1982
Women and Occupational Prestige: A Case of Vacuous Sex Equality.," Signs 5,2 ","England, Paula A. ",1979
"Do Highly Paid, Highly Skilled Women Experience the Largest Motherhood Penalty?"," American Sociological Review 81,6 ","England, Paula A., Jonathan M. Bearak, Michelle Jean Budig and Melissa J. Hodges. ",2016
Wages Of Virtue: The Relative Pay of Care Work.," Social Problems 49,4 ","England, Paula A., Michelle Jean Budig and Nancy Folbre. ",2002
Explaining Occupational Sex Segregation and Wages: Findings from a Model with Fixed Effects.," American Sociological Review 53,4 ","England, Paula A., George Farkas, Barbara Stanek Kilbourne and Thomas Dou. ",1988
The Gendered Valuation of Occupations and Skills: Earnings in 1980 Census Occupations.," Social Forces 73,1 ","England, Paula A., Melissa S. Herbert, Barbara Stanek Kilbourne, Lori Lynn Reid and Lori McCreary Megdal. ",1994
The Effect of the Sex Composition of Jobs on Starting Wages in an Organization: Findings from the NLSY.," Demography 33,4 ","England, Paula A., Lori Lynn Reid and Barbara Stanek Kilbourne. ",1996
An Analysis of the Journey to Work for Women., Social Problems 24 ,"Erickson, Julia A. ",1977
Self-Esteem Development From Age 14 to 30 Years: A Longitudinal Study.," Journal of Personality and Social Psychology 101,3 ","Erol, Ruth Yasemin and Ulrich Orth. ",2011
A Quantitative Theory of the Gender Gap in Wages., European Economic Review 85 ,"Erosa, Andres, Luisa Fuster and Diego Restuccia. ",2016
Power of Teen Motherhood in Predicting Later Educational Attainment.," The Social Policy Journal 4,1 ","Escamilla, Sandra and Janaki Santhiveeran. ",2005
Advancing Occupational Stress and Health Research and Interventions Using Latent Difference Score Modeling.," International Journal of Stress Management 21,1 ","Eschleman, Kevin J. and David LaHuis. ",2014
Perceptions of Family Relationship Factors and Depressive Symptoms in Adolescents: What Roles Do Parents and Gender Play?," Journal of Child and Family Studies 17,1 ","Eshbaugh, Elaine M. ",2008
Sexuality-Related Outcomes of Adolescent Children of Teen Mothers.," Journal of Family Social Work 11,4 ","Eshbaugh, Elaine M. ",2008
An Estimated Model of Entrepreneurial Choice under Liquidity Constraints.," Journal of Political Economy 97,4 ","Evans, David S. and Boyan Jovanovic. ",1989
Some Empirical Aspects of Entrepreneurship.," American Economic Review 79,3 ","Evans, David S. and Linda S. Leighton. ",1989
Why Do Smaller Firms Pay Less?," Journal of Human Resources 24,2 ","Evans, David S. and Linda S. Leighton. ",1989
On the Asymmetry of g.," Psychological Reports 85,3f ","Evans, Martin G. ",1999
Measuring Peer Group Teenage Behavior: A Study of Teenage Behavior.," Journal of Political Economy 100,5 ","Evans, William N., Wallace E. Oates and Robert M. Schwab. ",1992
Employer Size and Labor Turnover: The Role of Pensions.," Industrial and Labor Relations Review 49,4 ","Even, William E. and David A. MacPherson. ",1996
"Work Interruptions and Young Women’s Career Prospects in Germany, Sweden and the US."," Work, Employment and Society 30,2 ","Evertsson, Marie, Daniela Grunow and Silke Aisenbrey. ",2016
A Note on School Size and Wages.," Atlantic Economic Journal 23,3 ","Ewing, Bradley T. ",1995
Athletes and Work.," Economics Letters 59,1 ","Ewing, Bradley T. ",1998
High School Athletes and Marijuana Use.," Journal of Drug Education 28,2 ","Ewing, Bradley T. ",1998
High School Athletics and the Wages of Black Males.," The Review of Black Political Economy 24,1 ","Ewing, Bradley T. ",1995
Labor Market Effects of High School Athletic Participation: Evidence from Wage and Fringe Benefit Differentials.," Journal of Sports Economics 8,3 ","Ewing, Bradley T. ",2007
Wages and Performance-Based Pay: Evidence from the NLSY.," Economics Letters 51,2 ","Ewing, Bradley T. ",1996
The Trade-Off Between Supervision and Wages: Evidence of Efficiency Wages from the NLSY.," Southern Economic Journal 66,2 ","Ewing, Bradley T. and James E. Payne. ",1999
Relationship Between Urban Sprawl and Weight of United States Youth.," American Journal of Preventive Medicine 31,6 ","Ewing, Reid, Ross C. Brownson and David Berrigan. ",2006
Alcohol Consumption During Pregnancy and Infant Birth Weight.," Annals of Epidemiology 4,4 ","Faden, Vivian B. and Barry I. Graubard. ",1994
Statistical Discrimination and the Implication of Employer-Employee Racial Matches.," Journal of Labor Research 36,2 ","Fadlon, Yariv. ",2015
Effects of Measurement Timing on Subgroup Identification Using Growth Mixture Modeling: An Empirical Application to Alcohol Use.," Psychology of Addictive Behaviors 33,3 ","Fairlie, Anne M., Michael Bernstein, Theodore A. Walls and Mark D. Wood. ",2019
Drug Dealing and Legitimate Self-Employment.," Journal of Labor Economics 20,3 ","Fairlie, Robert W. ",2002
Earnings Growth Among Young Less-Educated Business Owners.," Industrial Relations: A Journal of Economy and Society 43,3 ","Fairlie, Robert W. ",2004
Entrepreneurship and Earnings among Young Adults from Disadvantaged Families.," Small Business Economics 25,3 ","Fairlie, Robert W. ",2005
"Self-employment, Entrepreneurship, and the NLSY79."," Monthly Labor Review 128,2 ","Fairlie, Robert W. ",2005
Home Computers and Educational Outcomes: Evidence from the NLSY97 and CPS.," Economic Inquiry 48,3 ","Fairlie, Robert W., Daniel O. Beltran and Kuntal Kumar Das. ",2010
Mexican-American Entrepreneurship.," B.E. Journals of Economic Analysis and Policy: Frontiers of Economic Analysis and Policy 10,1 ","Fairlie, Robert W. and Christopher M. Woodruff. ",2010
Maternal-Child Feeding Patterns and Child Body Weight: Findings from a Population-Based Sample.," Archives of Pediatrics and Adolescent Medicine 157,9 ","Faith, Myles S., Stanley Heshka, Kathleen Keller, Bettylou Sherry, Patty E. Matz, Angelo Pietrobelli and David B. Allison. ",2003
Distribution of Maternal Feeding Practices in the United States: Results from the National Longitudinal Survey of Youth.," Obesity Research 8,Supplement_1 ","Faith, Myles S., Stanley Heshka, Patty E. Matz, A. Pletrobelli and David B. Allison. ",2000
Relative Body Weight and Self-Esteem Among African Americans in Four Nationally Representative Samples.," Obesity Research 6,6 ","Faith, Myles S., Elizabeth Manibay, Meredyth Kravitz, John Griffith and David B. Allison. ",1998
An Empirical Study of the Timing and Spacing of Childbearing.," Southern Economic Journal 54,2 ","Falaris, Evangelos M. ",1987
Migration and Wages of Young Men.," Journal of Human Resources 23,4 ","Falaris, Evangelos M. ",1988
Leveling the Peaks and Troughs of the Demographic Cycle: An Application to School Enrollment Rates: A Comment.," Review of Economics and Statistics 73,3 ","Falaris, Evangelos M. and H. Elizabeth Peters. ",1991
Responses of Female Labor Supply and Fertility to the Demographic Cycle., Research in Population Economics 8 ,"Falaris, Evangelos M. and H. Elizabeth Peters. ",1996
Schooling Choices and Demographic Cycles.," Journal of Human Resources 27,4 ","Falaris, Evangelos M. and H. Elizabeth Peters. ",1992
Survey Attrition and Schooling Choices.," Journal of Human Resources 33,2 ","Falaris, Evangelos M. and H. Elizabeth Peters. ",1998
"Family Structure, Closeness to Residential and Nonresidential Parents, and Psychological Distress in Early and Middle Adolescence."," Sociological Quarterly 47,1 ","Falci, Christina. ",2006
"Soft Skills, Hard Skills, and the Black/White Wage Gap."," Economic Inquiry 55,2 ","Fan, C. Simon, Xiangdong Wei and Junsen Zhang. ",2017
Do Food Stamps Contribute to Obesity in Low-Income Women? Evidence from the National Longitudinal Survey of Youth 1979.," American Journal of Agricultural Economics 92,4 ","Fan, Maoyong. ",2010
"Obesity and Self-control: Food Consumption, Physical Activity, and Weight-loss Intention."," Applied Economic Perspectives and Policy 36,1 ","Fan, Maoyong and Yanhong Jin. ",2014
The Supplemental Nutrition Assistance Program and Childhood Obesity in the United States: Evidence from the National Longitudinal Survey of Youth 1997.," American Journal of Health Economics 1,4 ","Fan, Maoyong and Yanhong Jin. ",2015
Influences on Gender-Role Attitudes during the Transition to Adulthood.," Social Science Research 29,2 ","Fan, Pi-Ling and Margaret Mooney Marini. ",2000
Job Hopping and Adverse Selection in the Labor Market.," Journal of Law, Economics, and Organization 36,1 ","Fan, Xiaodong and Jed DeVaro. ",2020
Has Higher Education Solved the Problem? Examining the Gender Wage Gap of Recent College Graduates Entering the Workplace .," Compensation and Benefits Review 51,1 ","Fan, Xueqing and Michael Sturman. ",2019
Time-Inconsistency and Welfare Program Participation: Evidence from the NLSY .," International Economic Review 50,4 ","Fang, Hanming and Daniel Susman Silverman. ",2009
The Analysis of Interfirm Worker Mobility.," Journal of Labor Economics 12,4 ","Farber, Henry S. ",1994
Trends in Worker Demand for Union Representation.," American Economic Review 79,2 ","Farber, Henry S. ",1989
"Unionism, Labor Turnover, and Wages of Young Men.", Research in Labor Economics 3 ,"Farber, Henry S. ",1980
