Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,sourcearticleID
Anticompetitive Effects of Common Ownership,"Azar, Jose; Schmalz, Martin C.; Tecu, Isabel",,,,JOURNAL OF FINANCE,AUG 2018,2018,73,4.0,,,,1513,1565,,10.1111/jofi.12698,,,86,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,40,4,726468
"The mirroring hypothesis: theory, evidence, and exceptions","Colfer, Lyra J.; Baldwin, Carliss Y.",,,,INDUSTRIAL AND CORPORATE CHANGE,OCT 2016,2016,25,5.0,,,,709,738,,10.1093/icc/dtw027,,,52,8.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,15,15,19,0,726468
Intrafirm trade and vertical fragmentation in US multinational corporations,"Ramondo, Natalia; Rappoport, Veronica; Ruhl, Kim J.",,,,JOURNAL OF INTERNATIONAL ECONOMICS,JAN 2016,2016,98,,,,,51,59,,10.1016/j.jinteco.2015.08.002,,,47,7.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,9,11,15,0,726468
Knocking on Tax Haven's Door: Multinational Firms and Transfer Pricing,"Davies, Ronald B.; Martin, Julien; Parenti, Mathieu; Toubal, Farid",,,,REVIEW OF ECONOMICS AND STATISTICS,MAR 2018,2018,100,1.0,,,,120,134,,10.1162/REST_a_00673,,,43,10.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,21,2,726468
Networks and the Macroeconomy: An Empirical Exploration,"Acemoglu, Daron; Akcigit, Ufuk; Kerr, William",,,,NBER MACROECONOMICS ANNUAL,2016,2016,30,1.0,,,,273,+,,,,,37,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,14,16,1,726468
Spatial Organization of Firms and Location Choices Through the Value Chain,"Alcacer, Juan; Delgado, Mercedes",,,,MANAGEMENT SCIENCE,NOV 2016,2016,62,11.0,,,,3213,3234,,10.1287/mnsc.2015.2308,,,28,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,3,15,0,726468
"Product innovation, firm renewal and family governance","Cucculelli, Marco; Le Breton-Miller, Isabelle; Miller, Danny",,,,JOURNAL OF FAMILY BUSINESS STRATEGY,JUN 2016,2016,7,2.0,,,,90,104,,10.1016/j.jfbs.2016.02.001,Annual Conference of the Strategic-Management-Society,"SEP 17-20, 2016",26,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,9,10,1,726468
The Welfare Effects of Vertical Integration in Multichannel Television Markets,"Crawford, Gregory S.; Lee, Robin S.; Whinston, Michael D.; Yurukoglu, Ali",,,,ECONOMETRICA,MAY 2018,2018,86,3.0,,,,891,954,,10.3982/ECTA14031,,,25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,13,0,726468
Do Market Leaders Lead in Business Process Innovation? The Case(s) of E-business Adoption,"McElheran, Kristina",,,,MANAGEMENT SCIENCE,JUN 2015,2015,61,6.0,,,,1197,1216,,10.1287/mnsc.2014.2020,,,23,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,5,0,726468
Internalizing Global Value Chains: A Firm-Level Analysis,"Alfaro, Laura; Chor, Davin; Antras, Pol; Conconi, Paola",,,,JOURNAL OF POLITICAL ECONOMY,APR 1 2019,2019,127,2.0,,,,508,559,,10.1086/700935,,,22,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,726468
Identifying Technology Spillovers and Product Market Rivalry,"Bloom, Nicholas; Schankerman, Mark; Van Reenen, John",,,,ECONOMETRICA,JUL 2013,2013,81,4.0,,,,1347,1393,,10.3982/ECTA9466,,,308,34.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,23,38,44,58,69,54,7,547984
The Surprisingly Swift Decline of US Manufacturing Employment,"Pierce, Justin R.; Schott, Peter K.",,,,AMERICAN ECONOMIC REVIEW,JUL 2016,2016,106,7.0,,,,1632,1662,,10.1257/aer.20131578,,,194,32.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,38,61,60,6,547984
"Clusters, convergence, and economic performance","Delgado, Mercedes; Porter, Michael E.; Stern, Scott",,,,RESEARCH POLICY,DEC 2014,2014,43,10.0,,,,1785,1799,,10.1016/j.respol.2014.05.007,,,189,23.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,27,37,42,46,4,547984
The China Shock: Learning from Labor-Market Adjustment to Large Changes in Trade,"Autor, David H.; Dorn, David; Hanson, Gordon H.",,,"Aghion, P; Rey, H","ANNUAL REVIEW OF ECONOMICS, VOL 8",2016,2016,8,,,,,205,240,,10.1146/annurev-economics-080315-015041,,,179,29.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,44,60,55,8,547984
Import Competition and the Great US Employment Sag of the 2000s,"Acemoglu, Daron; Autor, David; Dorn, David; Hanson, Gordon H.; Price, Brendan",,,,JOURNAL OF LABOR ECONOMICS,JAN 2016,2016,34,1.0,2.0,,,S141,S198,,10.1086/682384,,,165,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,41,54,43,8,547984
Spatial concentration and plant-level productivity in France,"Martin, Philippe; Mayer, Thierry; Mayneris, Florian",,,,JOURNAL OF URBAN ECONOMICS,MAR 2011,2011,69,2.0,,,,182,195,,10.1016/j.jue.2010.09.002,,,140,12.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,11,10,16,16,16,24,19,16,0,547984
Defining clusters of related industries,"Delgado, Mercedes; Porter, Michael E.; Stern, Scott",,,,JOURNAL OF ECONOMIC GEOGRAPHY,JAN 2016,2016,16,1.0,,,,1,38,,10.1093/jeg/lbv017,,,122,20.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,28,35,39,0,547984
Portage and Path Dependence,"Bleakley, Hoyt; Lin, Jeffrey",,,,QUARTERLY JOURNAL OF ECONOMICS,MAY 2012,2012,127,2.0,,,,587,644,,10.1093/qje/qjs011,,,118,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,6,12,17,17,23,25,5,547984
ENTREPRENEURSHIP AND URBAN GROWTH: AN EMPIRICAL ASSESSMENT WITH HISTORICAL MINES,"Glaeser, Edward L.; Kerr, Sari Pekkala; Kerr, William R.",,,,REVIEW OF ECONOMICS AND STATISTICS,MAY 2015,2015,97,2.0,,,,498,520,,10.1162/REST_a_00456,,,96,13.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,18,16,22,29,0,547984
"Cities, Productivity, and Quality of Life","Glaeser, Edward",,,,SCIENCE,JUL 29 2011,2011,333,6042.0,,,,592,594,,10.1126/science.1209264,,,81,7.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,8,9,7,4,8,13,20,0,547984
The Surprisingly Swift Decline of US Manufacturing Employment,"Pierce, Justin R.; Schott, Peter K.",,,,AMERICAN ECONOMIC REVIEW,JUL 2016,2016,106,7.0,,,,1632,1662,,10.1257/aer.20131578,,,194,32.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,38,61,60,6,741381
Decentralization and Localization of Production: The Organizational and Economic Consequences of Additive Manufacturing (3D Printing),"Ben-Ner, Avner; Siemsen, Enno",,,,CALIFORNIA MANAGEMENT REVIEW,WIN 2017,2017,59,2.0,,,,5,23,,10.1177/0008125617695284,,,53,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,19,21,2,741381
The Growth Potential of Startups over the Business Cycle,"Sedlacek, Petr; Sterk, Vincent",,,,AMERICAN ECONOMIC REVIEW,OCT 2017,2017,107,10.0,,,,3182,3210,,10.1257/aer.20141280,,,26,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,15,1,741381
Globalization and local profiles of economic growth and industrial change,"Dauth, Wolfgang; Suedekum, Jens",,,,JOURNAL OF ECONOMIC GEOGRAPHY,SEP 2016,2016,16,5.0,,,,1007,1034,,10.1093/jeg/lbv028,,,22,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,1,7,2,0,741381
Entrepreneurship and Financial Frictions: A Macrodevelopment Perspective,"Buera, Francisco J.; Kaboski, Joseph P.; Shin, Yongseok",,,"Arrow, KJ; Bresnahan, TF","ANNUAL REVIEW OF ECONOMICS, VOL 7",2015,2015,7,,,,,409,436,,10.1146/annurev-economics-080614-115348,,,21,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,4,0,741381
An anatomy of the geographical concentration of Canadian manufacturing industries,"Behrens, Kristian; Bougna, Theophile",,,,REGIONAL SCIENCE AND URBAN ECONOMICS,MAR 2015,2015,51,,,,,47,69,,10.1016/j.regsciurbeco.2015.01.002,,,20,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,6,5,0,741381
Spatial frictions,"Behrens, Kristian; Mion, Giordano; Murata, Yasusada; Suedekum, Jens",,,,JOURNAL OF URBAN ECONOMICS,JAN 2017,2017,97,,,,,40,70,,10.1016/j.jue.2016.11.003,,,18,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,3,0,741381
The effects of import competition on worker health,"McManus, T. Clay; Schaur, Georg",,,,JOURNAL OF INTERNATIONAL ECONOMICS,SEP 2016,2016,102,,,,,160,172,,10.1016/j.jinteco.2016.06.003,,,15,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,0,741381
The Implications of Natural Resource Exports for Nonresource Trade,"Harding, Torfinn; Venables, Anthony J.",,,,IMF ECONOMIC REVIEW,2016,2016,64,2.0,,,,268,302,,10.1057/imfer.2015.43,,,15,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,4,0,741381
Supplier responses to Walmart's invasion in Mexico,"Lacovone, Leonardo; Javorcik, Beata; Keller, Wolfgang; Tybout, James",,,,JOURNAL OF INTERNATIONAL ECONOMICS,JAN 2015,2015,95,1.0,,,,1,15,,10.1016/j.jinteco.2014.08.003,,,14,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,3,0,741381
Immigration Status and College Students' Psychosocial Well-Being,"Cadenas, German A.; Nienhusser, H. Kenny",,,,EDUCATIONAL RESEARCHER,,2020,,,,,,,,0013189X20962470,10.3102/0013189X20962470,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969955
"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry","Braguinsky, Serguey; Ohyama, Atsushi; Okazaki, Tetsuji; Syverson, Chad",,,,AMERICAN ECONOMIC REVIEW,JUL 2015,2015,105,7.0,,,,2086,2119,,10.1257/aer.20140150,,,28,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,7,13,0,741430
Measuring the Bias of Technological Change,"Doraszelski, Ulrich; Jaumandreu, Jordi",,,,JOURNAL OF POLITICAL ECONOMY,JUN 2018,2018,126,3.0,,,,1027,1084,,10.1086/697204,,,14,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,1,741430
PRODUCTION FUNCTION ESTIMATION WITH UNOBSERVED INPUT PRICE DISPERSION,"Grieco, Paul L. E.; Li, Shengyu; Zhang, Hongsong",,,,INTERNATIONAL ECONOMIC REVIEW,MAY 2016,2016,57,2.0,,,,665,689,,10.1111/iere.12172,,,10,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,0,741430
The micro elasticity of substitution and non-neutral technology,"Raval, Devesh R.",,,,RAND JOURNAL OF ECONOMICS,MAR 2019,2019,50,1.0,,,,147,167,,10.1111/1756-2171.12265,,,7,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,741430
Ownership Structure and Productivity of Multinationals,"Bircan, Cagatay",,,,JOURNAL OF INTERNATIONAL ECONOMICS,JAN 2019,2019,116,,,,,125,143,,10.1016/j.jinteco.2018.11.005,,,4,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,741430
