articleID,year,journal,title_original,Title,abstract
101188,1990,public choice,committees and the core of the constitution,committees and the core of the constitution,"728 www.thelancet.com Vol 380 August 25, 2012 methodological training for members of the trial team and for research ethics committee members. Kenter and Cohen request that trial applications be reviewed by competent experts, while acknow ledging that such expertise is unlikely to be evenly distributed within the EU. They do not suggest how this gap should be fi lled. This challenge has been a major issue for one of the subgroups of our OECD Global Science Forum Working Group. We recommend the development of global core competencies as a compendium of required knowledge and skills for investigators and other members of the clinical trials team, research ethics committees, regulatory bodies, and sponsors. These training programmes should be open to the general public. Standardised, internationally recognised accredited qualifi cations in patient-oriented research should be defi ned in connection with these competencies. In this way, we can improve the training of everybody involved in clinical trials. Collapse"
101189,1990,public choice,the pits and the core:  simple collective decision problems with concave preferences,the pits and the core simple collective decision problems with concave preferences,"This essay extends the theory of simple collective decision problems to spatial games in which (contrary to the traditional assumption) each agent's preferences are concave, in the sense that the alternatives that the agent does not prefer to any particular reference alternative together constitute a convex set. Such concave preferences might characterize decision problems in which, say, a site must be selected for some obnoxious facility, such as a prison, garbage dump, or facility for managing hazardous materials. The results indicate that, under these conditions, the (weak a-)core can be structurally unstable, changing discontinuously with apparently minor perturbations of the decision problem. The main theorem identifies a curious property of the core when the set of feasible alternatives is compact and convex and each agent's preferences are strictly concave. Namely, a point in the feasible set's interior can belong to the core only if there is no feasible alternative that makes every member of any winning coalition strictly worse off. In this sense, an interior point belongs to the core only if it lies in ""the pits."" Collapse"
101190,1990,public choice,the structure of the banks set,the structure of the banks set,"We study the impact of dust evolution in a protoplanetary disk (PPD) around a T Tauri star on the disk's chemical composition. For the first time, we utilize a comprehensive model of dust evolution, which includes growth, fragmentation, and sedimentation. Specific attention is paid to the influence of grain evolution on the penetration of the UV field in the disk. A chemical model that includes a comprehensive set of gas-phase and grain-surface chemical reactions is used to simulate the chemical structure of the disk. The main effect of grain evolution on the disk's chemical composition comes from sedimentation and, to a lesser degree, from reduction of the total grain-surface area. The net effect of grain growth is suppressed by the fragmentation process which maintains a population of small grains, dominating the total grain surface area. We consider three models of dust properties. In model GS, both growth and sedimentation are taken into account. In models A5 and A4, all grains are assumed to be the same size (10?5?cm and 10?4?cm, respectively) with a constant gas-to-dust mass ratio of 100. As in previous studies, the three-layer pattern (cold midplane, warm molecular layer, and hot atmosphere) in the disk-chemical structure is preserved in all models, but shifted closer to the midplane in models with increased grain size (GS and A4). Unlike other similar studies, we find that in models GS and A4, the column densities of most gas-phase species are enhanced by 1-3 orders of magnitude relative to those in a model with pristine dust (A5), while column densities of their surface counterparts are decreased. We show that column densities of certain species, such as C2H, HC2n+1N (n = 0-3), H2O, and some other molecules, as well as the C2H2/HCN abundance ratio, all of which are accessible with Herschel and ALMA, can be used as observational tracers of early stages of the grain evolution process in PPDs. Collapse"
101191,1990,public choice,probability calculations for transitivity of simple majority rule with anonymous voters,probability calculations for transitivity of simple majority rule with anonymous voters,"Let P(n, 4) denote the probability that there is a pairwise simple majority rule winner on four candidates with n voters under the impartial anonymous culture condition. Similarly, let Pt(n, 4) denote the probability that the complete ranking obtained by pairwise simple majority voting on four candidates with n voters is transitive under the impartial anonymous culture condition. We obtain representations for P(n, 4) and Pt(n, 4), and computed values for each for odd n with 3 ≤ n ≤ 19. Collapse"
101192,1990,public choice,general fund financing versus earmarked taxes:  an alternative model of budgetary choice in a democracy,general fund financing versus earmarked taxes an alternative model of budgetary choice in a democracy,"This paper presents an alternative model of budgetary choices in a direct democracy. Our model is not only more consistent with the underlying assumptions of consumer theory, but also is easier to apply to the study of problems such as the impact of lump-sum subsidies, changes in the costs of production, and so forth, on the equilibrium levels of collective variables.The model appears to account for the hitherto inexplicable perverse results that plague many of the general fund financing models discussed in the literature to date.We also show that if one corrects for the current incompatibility of assumptions about decision-making at the micro level, then the resulting budget under GFF is always greater or equal to that under earmarked taxes. This is a much less ambiguous result than that obtained in previous models where anything could happen. Collapse"
101193,1990,public choice,collective decision making and the limits on the organization's size,collective decision making and the limits on the organizations size,"This essay clarifies the relationship between the “technology” of organizational decision making and the limits on the size of the group of decision makers within the organization. Viewing the number and quality of decision makers, and the time required for decision making as inputs in the production of collective decisions, we show that there exist generic organizational forces that offset the incentive to unlimited expansion of the organization. Even in a long run competitive environment with perfect markets for managers, unlimited duplication of the firm may not be economically feasible. We first analyze in a general setting and then illustrate in two stylized examples, the interplay between individual decisional quality, time required for an individual decision, direct and indirect costs of decision making, and the optimal number of decision makers (for example, management size). Collapse"
101195,1990,public choice,"boards of trustees, agency problems, and university output",boards of trustees agency problems and university output,"Concluding commentsThe analysis and empirical evidence in this paper indicate that the structure of the boards of trustees of state universities influences the provision of higher education. The structure of the boards is important because it helps to define the constraints on the board members and on the internal agents of the universities. An implication of this study is that public universities can be made to function more like private ones by placing them under separate governing boards.These results are especially interesting when examining the trends regarding board structures. The trend over this century across the states has been toward increasing the number of universities under the jurisdiction of a single board. This analysis suggests that the trend is a response to political pressure from educators, not from taxpayers and consumers of higher education. Collapse"
101196,1990,public choice,"shirking, representation, and congressional behavior:  voting on the 1983 amendments to the social security act",shirking representation and congressional behavior voting on the 1983 amendments to the social security act,"SummaryOur central goals at the outset of the paper were three: (1) to report on the relative significance of a sophisticated measure of constituent economic interest and a commonly used variable, ADA score, that purports to measure the personal ideology of the candidate; (2) demonstrate that the constituent economic interest variable should be adjusted to account for the fact thatvoters, not citizens, are the only effective principals in influencing a legislator's voting activities; and (3) call into question, on both theoretical and empirical grounds, the claim that legislators shirk their responsibilities to voters by voting their own ideological preferences. In order to evaluate our efforts, consider Table 5. For a large majority (15) of the 18 relevant runs, the ideological variable is significant. Our measure of constituent economic interests does not eliminate the explanatory power of the ideological voting variable, but this does not indicate shirking. As opposed to shirking, we may observe ideological voting because (1) it provides brand name capital, (2) it represents the ideological preferences of the constituents, or (3) it acts as a measure of median voter economic preferences. Further, ADA scores do not allow us to differentiate between these competing explanations.Table 5. Comparison of House and Senate resultsEconomic variableIdeological variableHouseSenateTotalSignificantNot significantSignificantNot significantKalt-Zupan Insignificant——4—4Kalt-Zupan Significant332—8Peltzman Insignificant——3—3Peltzman Significan——3—3Total3312018 For 11 of the 18 models one of the economic variables accounts for a significant portion of the variance in the dependent variables. The results derived from our measure of constituent economic interests contradict most findings of the LASI school and raise questions about the validity of the empirical characterization of constituent interests in that research.A breakdown of the results by chamber indicates that significant differences in the degree of ideological voting between the House and Senate may exist. This is important in that most research has focused only on the Senate where ideological voting is more prevalent. For the House, Table 5 reveals the constituent economic interest variable isalways significant, and in fully one-half of the relevant regressions it is theonly significant variable, knocking ADA out of the race. As noted earlier, the insignificance of ADA is some indication of the absence of ideological shirking though its significance may indicate only measurement error, voter ideology, or reputational capital. In the Senate, the results are more evenly split, though it is clear that the adjusted (for reelection constituency) economic interest variable is an improvement. ADA is significant in all 12 Senate regressions, and the respective economic variables are significant in 5, or just under half.This side-by-side comparison is provocative, though it remains to be tested in detail. But our preliminary conclusions can be stated as follows. First, as Peltzman (1984) suggested, a better specification of economic interest and constituency representation reduces, though it does not eliminate, the role of the ADA variable in the Senate. Second, we find evidence that ideological shirking, if it exists, is much smaller in the House. In fact, from an institutional perspective, it can be argued that economic interests are dominant, since House districts are smaller and more homogeneous. Further, the shorter terms for House members may make them more directly accountable to voters, and smaller groups of voters may force a lesser reliance on pure ideological campaigning and require a more personal presentation of self. Collapse"
101197,1990,public choice,the simple analytics of slack-maximizing bureaucracy,the simple analytics of slack maximizing bureaucracy,No Result.
101198,1990,public choice,pressure politics and government spending in belgium,pressure politics and government spending in belgium,No Result.
101199,1990,public choice,economic performance and political popularity in the republic of ireland,economic performance and political popularity in the republic of ireland,"This paper develops a model of discrete choice to analyse the choice of voters among a number of political parties. It then applies the model to an empirical analysis of the relationship between a government's economic performance and its political popularity for the Republic of Ireland over the period 1974–1987.Within this general statement the paper makes three contributions. First, it sheds light on a hitherto unknown phenomenon — namely the nature of the relation between economic performance and political popularity in Ireland. Second, it does this within the context of analysing the reactions of different types of voters viz. voters of all social classes and then of social classes ABC1 and C2DE. Third, the empirical work is grounded firmly in a choice theoretic model involving optimal choices between discrete alternatives. Collapse"
101200,1990,public choice,a constitutional view of legislative pay,a constitutional view of legislative pay,"As an academic comparative constitutional lawyer, I come to the recent Constitutional Advisory Panel report and the issue of whether and how the New Zealand Bill of Rights Act 1990 (NZBORA) should be reformed from a particular – perhaps idiosyncratic – perspective. This is viewing the NZBORA as an influential version of a new general model of constitutionalism. This model grants to legislatures ultimate responsibility for the resolution of controversial rights issues while at the same time seeking to improve the rights sensitivity of the legislative process and increasing the rights protective powers of courts as compared with the traditional institutional form of parliamentary supremacy. At least in theory and aspiration, this general model provides an Collapse"
101201,1990,public choice,a brief empirical note on the tiebout hypothesis and state income tax policies,a brief empirical note on the tiebout hypothesis and state income tax policies,"Some years ago, Tiebout (1956: 418) hypothesized that ""... the consumervoter may be viewed as picking that community which best satisfies his preference pattern for public goods ... the consumer-voter moves to that community whose local government best satisfies his set of preferences."" Based upon this argument by Tiebout, this brief note seeks to empirically examine the impact of state income tax policy upon the geographic mobility of consumer-voters in the United States; more specifically, we attempt to determine whether the existence of a state income tax significantly influences the in-migration of consumer-voters. Naturally, the analysis includes suitable non-tax control variables to reflect other factors which may influence the migration decision calculus. Collapse"
101202,1990,public choice,protectionist policies as the regulation of international industry,protectionist policies as the regulation of international industry,No Result.
101204,1990,public choice,on the limits to rent-seeking waste,on the limits to rent seeking waste,No Result.
101205,1990,public choice,family ties and social security in a democracy,family ties and social security in a democracy,"Sabrina P. Ramet, ed. Gender Politics in the Western Balkans. Women and Society in Yugoslavia and the Yugoslav Successor States. University Park, PA: The Pennsylvania State University Press, 1999. 343 pp. $55.00, cloth. $18.95, paper. Gender Politics in the Western Balkans is a collection of fifteen articles on various aspects of gender politics in Yugoslavia and its successor states. Written by historians, social scientists, literary critics and human rights activists, the essays address both the socio-economic and the political issues that have affected women in the region. The book is divided into four uneven parts: Overview (two chapters); the Interwar Era, World War 11, and the Socialist Era (four chapters); Post-Socialist Republics (six chapters); and Literature and Religion (three chapters). The editor, Sabrina P. Ramet, reminds us in her introduction that ""in the course of the twentieth century, Yugoslav women have lived under six different systems: dynastic monarchy (in the years up to 1918), constitutional monarchy (most of the years between 1918 and 1941), fascist occupation (1941-45), communist one-party rule (1945-90), flawed democracy (Slovenia and Macedonia since 1990), and nationalism (Croatia, Serbia and Bosnia since 1990)"" (p. 5). The emergence, nature, disintegration, and the various mutations of the Yugoslav, Serbian, Croatian, Slovenian, Bosnian, and Kosovar nation states form the historical and socioeconomic background framing the other issues addressed in the collection. These include the South Slav family structure; underdevelopment, poverty and economic scarcity; women's struggles; changing constructions of identities based on gender, nationality/ethnicity, and sexual orientation; and the role of war and other crises in both the deconstruction of the existing gendered (and ethnic) order and the (re)construction of a new one. The South Slav family structure and dynamics, in particular the syndrome of the ""self-sacrificing micro-matriarchy,"" are introduced by Andrei Simic in Chapter Two. The author analyzes the power relations within the typical Yugoslav family from an anthropological perspective in terms of three dyads: husband/wife, mother/son, and daughter-in-law/mother-in-law. ""In the absence of an affectual tie to her husband, and as a reaction to the dominance of her mother-in-law,"" Simic argues, ""the young wife cultivates unusually strong reciprocal links with her children"" (p. 21). In time, the close relationship between an elderly mother and adult sons) enables the mother to exert considerable influence and power both within and outside the family. The author characterizes the resultant gender system as a ""cryptomatriarchy."" In her comment on Simic's article in the concluding ""Afterword,"" Branka Magas attributes the continuing influence on urban life of machismo and cryptomatriarchy to the acute housing shortage during the communist period, the relatively recent industrialization, and, above all, ""the low labor mobility caused by the life-long job security characteristic of all communist societies. An unintended outcome of this `socialist gain' was the fact that rules governing kinship in the countryside were extended to the cities-with the difference that, in the latter, matri-locality as well as the usual patri-locality became the norm. In its desire to prevent the rule of capital, the communist system thus conserved older norms of life"" (p. 289). Cryptomatriarchy has continued to flourish in contemporary Serbia, with paradoxical effects. Sarana Papi6 describes Milo""sevic's Serbia as a society characterized by ""the equality of powerlessness,"" where ""women are treated as an inexhaustible resource, not only in the everyday art of survival but as the procreative saviors of the dying Nation"" (p. 164), while men continue to be seen as ""natural"" warriors. However, Papi also points out that ""Milogevid's exclusive masculinized power emasculates all other men; economically and politically"" (p. … Collapse"
101206,1990,public choice,"bureaucracy, inefficiency, and time",bureaucracy inefficiency and time,"Consider General Motors Corporation. GM seems like a giant Sequoia tree rotting slowly from the top. Theories abound as to why: myopic management; hubris; politics, vertical integration, inefficiency, outdated plant and equipment, the Icarus Paradox (Miller 1990), resistance to change; permanently failing organizations (Meyer and Zucker 1989), the unions; and so forth. GM is a dinosaur (Loomis 1993) stuck in a time warp with a “gargantuan bureaucracy” (Kerwin 1998, p. 26) that, as a high cost producer of low quality cars, is well off the efficiency curve. And it is not that there isn’t motive. The industry is very competitive and everyone in the industry knows GM is below the curve. Further, GM has spent billions trying to get back on the curve—some say they have spent more than the total asset value of Toyota. What is not working at GM and can organization science explain it? Like Gaul, organization science is divided into three parts: rational, natural, and open systems (Scott 1998). The rational system view, the visible hand Chandler (1977) calls it, puts the blame on managers. The natural system view—the invisible hand—tells us that the emergent structure is apparently defeating whatever good ideas the managers do come up with. And the open systems view? It focuses on environmental effects and boundary transactions. Paradigm proliferation (Donaldson 1995) further delineates views within Scott’s broad framework. Much as one might like some of the newer paradigms, Pfeffer (1997) cautions that much of the paradigm proliferation in organization science results from fads and fashion. He quotes himself 16 years earlier, saying, “If we use relatively simpler processes and models the world will appear to be simpler and more certain.... We overlook the potential for finding simpler models to describe the world” (1981, p. 411). So, in this chapter I reduce Scott’s framework to four driving forces: adaptive tension, self-organization (by managers or nonmanagers), interdependency effects, and multilevel coevolution. Ironically Pfeffer (1997) decries the dangerous liaison with economics while simultaneously calling for simplicity. The one thing economists’ penchant for mathematical models has created is a constant drive for simplicity. They focus on just a few key variables otherwise the mathematics becomes intractable. Following the direction of current philosophy of science, embodied in Campbellian Realism (McKelvey this volume), I not only follow Pfeffer and the economists in emphasizing parsimony, but also take a step in the direction of a formal model-centered organization science by framing my complexity theory application to firms in terms of computational models.1 Campbellian Realism calls, in part, for scientists to coevolve the development of theory and model so as to maximize “experimental adequacy” tests—the theory predicts model behavior and the model allows testing of the intricacies of the theory. Section 2 develops: (1) Self-Organization Theory—If the level of adaptive tension falls outside a region defined by the chaos theorists’ “critical values” (Cramer 1993),2 the resulting complexity field will not support the emergence of structures necessary for constructive adaptation; and (2) Complexity Catastrophe Theory—If the conditions of complexity catastrophe exist, Friedman’s (1953) natural selection based constrained maximization or Campbell’s blind variation, selection, and retention (BVSR) processes may function properly and yet fail to produce the kinds of intrafirm behavior necessary for survival and growth in a selectionist competitive context. Together these theories state that (1) critical value effects creating emergent structure in the mid range of adaptive tension; and (2) complexity effects on the flat and jagged extremes of rugged landscapes combine to produce a nonlinear inverted U effect on organizational performance relative to adaptive tension and complexity. Section 3 illustrates how to set up the groundwork for testing experimental adequacy. The model frameworks come from Kauffman (1993). I draw on both his Boolean statistical mechanics and his NK[C] model. I conclude that (1) self-organization and complexity catastrophe theories offer useful insights into the prolonged poor performance of large complex organizations such as GM; and (2) computational modeling approaches offer a basis for testing the Collapse"
101207,1990,public choice,the optimal subsidization of baptists by bootleggers,the optimal subsidization of baptists by bootleggers,No Result.
101223,1990,quarterly journal of economics,consumer investment in product-specific capital: the monopoly case,consumer investment in product specific capital  the monopoly case,"For many pairs of complementary products, one good might usefully be called a consumption good, and the other a capital good. A concrete example of such complements is gasoline and automobiles. Because of complementarity, investment in automobiles depends on the price of gas. Since cars bought today will be around for several years, there is a dynamic link between the current price of gas and future demand for gas. OPEC has a strategic incentive to set a low oil price today since a low price promotes investment in big cars and other oil-fueled equipment which, in turn, increases the future profit of the oil industry. Consumer investment in product-specific capital is a feature of the markets for many products, especially if one takes a broad perspective of what this capital decision can be. For instance, continuing the example of the gas market, the decision to reside far from work is analogous to the decision to buy a big car since (1) the decision may be influenced by the current price of gas and (2) the decision affects an individual's future demand for gas. As another example consider the demand for phone service. In response to a low price of phone service, businesses makes capital decisions such as the purchase of computer telemarketing machines and other phone equipment. The businesses may also configure their marketing strategy to use (human) phone contact rather than direct personal contact, and such a strategy involves investment in human capital. These investment decisions all tend to make the future demand for phone service relatively inelastic. This paper presents a model in which there are capital goods, ""cars,"" which can be used for two periods, and a consumption good, ""gas,"" which fuels the cars. Big cars are gas guzzlers; i.e., car size and gas are complements. Consumers select the size of their car on the basis of the current price of gas and their expectations of the future Collapse"
101224,1990,quarterly journal of economics,export subsidies as an outcome of the management-labor conspiracy,export subsidies as an outcome of the management labor conspiracy,"A mercantilistic trade policy is often introduced as a tool to generate more jobs in some key industries. When employment in an export (import) industry is perceived to be low, the government would be tempted to adopt measures of export promotion (import protection) to increase it. By effectively guaranteeing employment, however, these policies would reduce incentives for the private sector to reach efficient labor contracts. For example, the labor union might refuse to sign a profit-sharing contract with management and unilaterally demand high wages, believing that the resulting loss in competitiveness would not affect the well-being of its members, since the government would protect the industry. It is also conceivable that management and the labor union conspire to reach inefficient contracts so as to invite government intervention. In certain cases trade policies only transfer income without any allocative effect. This is not merely a theoretical curiosum. Free trade advocates have often pointed out that protectionist policies would have deleterious effects on the pattern of collective bargaining in the trade-sensitive sectors.' This paper constructs simple models to illustrate this point for export subsidies, and so it can be viewed as an addition to the literature that aims to bring attention to the pitfalls of the new mercantilism, such as Eaton and Grossman [1986], Dixit and Grossman [1986], and Horstman and Markusen [1986]. Unlike these studies, however, the government policies considered here are reactive in the sense that the private sector moves first, anticipating the government's response. Dixit and Kyle [1985], Carmichael Collapse"
101225,1990,quarterly journal of economics,the information in the longer maturity term structure about future inflation,the information in the longer maturity term structure about future inflation,"This paper provides empirical evidence on the information in the term structure for longer maturities about both future inflation and the term structure of real interest rates. The evidence indicates that there is substantial information in the longer maturity term structure about futureinflation: the slope of the term structure does have a great deal of predictive power for future changes in inflation. On the other hand, at the longer maturities, the term structure of nominal interest rates contains very little information about the term structure of real interest rates. These results are strikingly different from those found for very short-term maturities, six months or less, in previous work. For maturities of six months or less, the term structure contains no information about the future path of inflation, but it does contain a great deal of information about the term structure of real interest rates. The evidence in this paper does indicate that, at longer maturities, the term structure of interest rates can be used to help assess future inflationary pressures: when the slope of the term structure steepens, it is an indication that the inflation rate will rise in the future and when the slope falls, it is an indication that the inflation rate will fall. However, we must still remain cautious about using the evidence presented here to advocate that the Federal Reserve should target on the term structure in conducting monetary policy. A change in Federal Reserve operating procedures which focuses on the term structure may well cause the relationship between the term structure and future inflation to shift, with the result that the term structure no longer remains an accurate guide to the path of future inflation. If this were to occur, Federal Reserve monetary policy could go far astray by focusing on the term structure of interest rates. Collapse"
101226,1990,rand journal of economics,the economic incidence of the interstate commerce act of 1887: a theoretical and empirical analysis of the short-haul pricing constraint,the economic incidence of the interstate commerce act of 1887  a theoretical and empirical analysis of the short haul pricing constraint,"This article concerns the economic incidence of the Interstate Commerce Act of 1887 (ICA). Our focus is the short-haul pricing constraint, a provision of the ICA that prohibited railroads from charging higher rates to isolated, primarily agrarian shippers than it charged to intercity shippers of similar commodities. Utilizing the event study methodology, we find that the impending passage of the ICA generated a distribution of abnormal returns to railroads and shipping firms that is consistent with the theoretical implications of our analysis of the short-haul pricing constraint (SHPC). However, early interpretations of the SHPC by the Interstate Commerce Commission reduced some of the abnormal returns to railroads in a manner that is inconsistent with the hypothesis that the short-haul pricing constraint was an important mechanism of early railroad regulation. The analysis does support a multiple-interest interpretation of the Interstate Commerce Act and has implications for the positive theory of regulation. Collapse"
101227,1990,rand journal of economics,firm behavior in franchise monopoly markets,firm behavior in franchise monopoly markets,"This article presents empirical evidence concerning the value of franchise bidding competition as a means of controlling natural monopoly behavior. The analysis focuses on the cable television industry, using data collected in a survey of local government officials in cabled communities throughout the continental United States. One important potential problem raised by critics of franchise bidding is the ability of franchise winners to engage in ex post opportunistic behavior by reneging on the promises that they made in order to win the franchise contract. The results of my analysis suggest that although franchise competition does lead firms to engage in some degree of opportunistic behavior, the extent of opportunism is not severe. Furthermore, reputation effects appear to play a role in constraining firm behavior, while rate regulation actually seems to exacerbate ex post behavioral problems. Collapse"
101231,1990,rand journal of economics,the performance of long-term contracts: further evidence from coal markets,the performance of long term contracts  further evidence from coal markets,This article extends my previous work on price adjustment in long-term(This abstract was borrowed from another version of this item.)
101237,1990,regional studies,graduation of fertility schedules:  an analysis of fertility patterns in london in the 1980s and an application to fertility forecasts,graduation of fertility schedules an analysis of fertility patterns in london in the 1980s and an application to fertility forecasts,"London's average total fertility rate (TFR) stood at 1.75. Using a cluster analysis to compare the 1985-1987 fertility patterns of different boroughs of London, demographers learned that 5 natural groupings occurred. 4 boroughs in a central London cluster have the distinction of having a low TFR (1.38) and late fertility (average age of 29.58 years). The researchers attributed these occurrences to the high levels of employment and career attachment and low rates of marriage among women in this cluster. 2 inner city boroughs constituted the smallest cluster and had the largest TFR (2.37), mainly due to high numbers of births to the ethnic minorities. The largest cluster consisted of 12 boroughs located mainly along the periphery with 2 centrally located boroughs (TFR, 1.79). Some of the upper class outer boroughs characterized another cluster with a TFR of 1.61. Another cluster made up of inner and outer boroughs in east and southeast London had a ample proportion of manual worker (TFR, 2.04). Social class most likely accounted for the contrast in TFRs between the 2 aformentioned clusters. Demographers observed that cyclical fluctuation of fertility occurred as opposed to secular trends. Due to these fluctuations, demographers used autoregressive moving average forecast models to time series of the fertility variables in London since 1952. They also applied structural time series models which included regression variables and the influence of cyclical and/or trend behavior. The results showed that large cohorts and the increase in female economic activity caused a delay in the modal age of births and a reduction in the number of births. Collapse"
101240,1990,regional studies,training as an instrument of regional policy:  the new panacea?,training as an instrument of regional policy the new panacea,No Result.
101241,1990,regional studies,the impact of the scottish enterprise reforms on vocational education and training,the impact of the scottish enterprise reforms on vocational education and training,No Result.
101245,1990,regional studies,piercing the corporate veil: the closure of wisconsin steel in south chicago,piercing the corporate veil the closure of wisconsin steel in south chicago,"CLARK G. L. (1990) Piercing the corporate veil: the closure of Wisconsin Steel in South Chicago, Reg. Studies 24, 405–420. Restructuring is usually associated with technological change, the transformation of the workplace, and the communities affected by cross-plant capacity rationalization. However restructuring should also be understood as a corporate strategy – specifically the actions of management to protect and foster their core economic interests while limiting the costs of adjustment by shifting those costs to others. A case study of International Harvester Company's restructuring strategy which led to bankruptcy and closure of Wisconsin Steel in South Chicago in the early 1980s is the basis of the paper. The significance of plant-closing pension liabilities in corporate restructuring is emphasized, as is the regulation of restructuring with respect to those liabilities by the United States federal government's Pension Benefit Guaranty Corporation. Analytically, the case is interpreted, in part, a... Collapse"
101246,1990,regional studies,regional financial sector models:  an application to the northern ireland financial sector,regional financial sector models an application to the northern ireland financial sector,"HUTCHINSON R. W. and McKILLOP D. G. (1990) Regional financial sector models: an application to the Northern Ireland financial sector, Reg. Studies 24, 421–431. This paper presents an analysis of recent theoretical developments in the treatment of regional financial markets. It starts from a position where regional financial markets are fully integrated in a national system, with regional financial institutions having a neutral effect on their regional economy. It then indicates how interregional differences in information costs can result in a degree of inter-regional financial market segmentation, creating conditions under which regional interest rates can diverge from national rates. The theoretical analysis also demonstrates how market segmentation, resulting from financial institutions with elements of regional autonomy, can impact upon a region's ability to undertake profitable investment. The applicability of these models is then tested employing the Northern Ireland financial sector as the control.... Collapse"
101249,1990,regional studies,the channel tunnel and regional development:  policy responses in britain and france,the channel tunnel and regional development policy responses in britain and france,No Result.
101254,1990,regional science and urban economics,panel data analysis of housing choices,panel data analysis of housing choices,"Abstract Housing choices have almost exclusively been analyzed either by using survey data gathered at a specific point in time or by using time-series of aggregate data. Panel data permits use of both time-series and cross-sectional variation, thereby providing a substantially superior identification and seperation of the various economic and demographic mechanisms underlying housing choice behavior which are often confounded in the snapshot analysis of cross-sectional data and by aggregation in time-series analysis. In this paper, a longitudinal discrete choice model of the choice of housing tenure and size is presented and estimated using five linked cross-sections of the Panel Survey of Income Dynamics, 1977 to 1981. We employ the conditional fixed effects multinomial logit model [FEMNL, Chamberlain (1980)] in order to account for time-invariant heterogeneity across households. These panel data results differ in many respects from results obtained from single and pooled cross-sections. First, price and income elasticities appear substantially overestimated in cross-sectional analysis as opposed to time-series and panel data analysis. Second, life-age effects are confounded by calendar-time specific effects and therefore may yield implausible results in cross-sectional analysis. In general, the influence of demographic variables appears to be understated in cross-sectional estimation. Collapse"
101274,1990,review of economic studies,repeated games with long-run and short-run players,repeated games with long run and short run players,"This paper studies the set of equilibrium payoffs in repeated games with long- and short-run players and little discounting. Because the short-run players are unconcerned about the future, each equilibrium outcome is constrained to lie on their static reaction (best-response) curves. The natural extension of the folk theorem to games of this sort would simply include this constraint in the definitions of the feasible payoffs and minmax values. In fact, this extension does obtain under the assumption that each player's choice of a mixed strategy for the stage game is publicly observable but, in contrast to standard repeated games, the set of equilibrium payoffs is different if players can observe only their opponents' realized actions. Collapse"
101286,1990,review of economics and statistics,do socialist countries suffer a common business cycle?,do socialist countries suffer a common business cycle,"The nature and characteristics of economic fluctuations in Eastern European Centrally Planned Economies are analyzed. When cycles are identified by the deviation from a fitted deterministic trend, they are seen to coincide temporally. This common variation is found for Net Material Product (NMP) and Investment. The implications of the common variation of CPE cycles are discussed. Possible explanations of this phenomenon are discussed with emphasis on a possible link via trade. We then examine the possibility that the time series contain unit roots. We are unable to reject this hypothesis for the variables in question. This suggests using procedures for detrending nonstationary time series suggested by Beveridge and Nelson. Such an analysis is performed and the implications are discussed. We find that there remains some common variation in the cyclical component of output, but to a lesser extent. The implications of these findings for future research on CPE cycles are discussed. Collapse"
101291,1990,review of economics and statistics,credit rationing and private transfers:  evidence from survey data,credit rationing and private transfers evidence from survey data,"This paper investigates the connection between credit rationing and private intergenerational transfers. The research is motivated by the idea that private transfers may be a source of funds for consumers who have difficulty borrowing from financial intermediaries. This idea has important implications for consumer behavior, and economists have begun to think about it, but they have given it little empirical attention. Using the 1983 Survey of Consumer Finances, we find that private transfers do tend to be targeted toward consumers who face credit rationing. But we also find that a substantial fraction of U.S. consumers are liquidity-constrained even if one allows for the possibility of private transfers. Collapse"
101294,1990,review of economics and statistics,specification of the technology for neoclassical investment theory:  testing the adjustment costs approach,specification of the technology for neoclassical investment theory testing the adjustment costs approach,"The paper provides an empirical investigation into the nature of adjustment costs and their implications for modelling and investment process. In particular, their role in today's most popular models of investment, the rational flexible accelerator and Tobin's q, is considered. In the analysis it is assumed that costs of adjusting the level of quasi-fixed inputs affects the firm's operations independently of specific optimal decision rules for investment. The results show that the pattern of adjustment costs is consistent with the solution of the optimization problem faced by the firm. However, such structure is more complex than what is usually postulated in the literature. Finally costs of adjustment represent a significant portion of the unit cost of new capital goods. Collapse"
101298,1990,review of economics and statistics,a monte carlo evaluation of the box-cox difference transformation,a monte carlo evaluation of the box cox difference transformation,The Box-Cox difference transformation permits the selection of either the first difference or percentage change form of a time series regression model. Monte Carlo evidence on the small sample properties of the transformation parameter A indicates that the difference transformation works quite well even in samples of size 30. Likelihood ratio testing is compared to an asymptotically equivalent alternative Lagrange Multiplier test. It is shown that values of R2 can often be higher for the incorrect transformation. Collapse
101299,1990,review of economics and statistics,estimation of a linear sur model with unequal numbers of observations,estimation of a linear sur model with unequal numbers of observations,This paper clarifies the differences in the alternative estimators of the error covariance matrix X in the SUR model with unequal numbers of observations. It identifies a sample statistic which represents their essential differences and hence is a useful guide for the choice of an estimator in practice. The paper also presents an alternative estimator of E based on the specification in Telser (1964). Collapse
