title,keywords,authors,journal,year
"Errors in Survey Reports of Earnings, Hours Worked and Hourly Wages","Keywords: Labor Market & Outcomes, Survey Methodology","Rodgers, Willard, Brown, Charles, and Duncan, Greg J.", Journal of the American Statistical Association, 1993
Event-History Analysis for Left-Truncated Data,Keywords: Survey Methodology,"Guo, Guang.", Sociological Methodology, 1993
Exogeneity Tests in a Truncated Structural Equation,"Keywords: Family Formation & Composition, Gender Differences, Income, Labor Market & Outcomes, Statistical & Econometric Methods","Tsurumi, Hiroki and Mehr, Peter.", Journal of Econometrics, 1993
Housing Cost and Married Women's Labor Force Participation in 1980,"Keywords: Family Formation & Composition, Gender Differences, Housing, Labor Market & Outcomes","Starkey, James L. and Port, Barbara.", The Social Science Journal, 1993
Work and Welfare among Single Mothers in Poverty,"Keywords: Family Formation & Composition, Gender Differences, Government Transfers, Labor Market & Outcomes, Poverty","Harris, Kathleen Mullan.", American Journal of Sociology, 1993
Cyclical Fluctuations and Sectoral Reallocation,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods","Starr-McCluer, Martha.", Journal of Monetary Economics, 1993
"Actual Experience, Potential Experience or Age and Labor Force Participation by Married Women","Keywords: Aging, Family Formation & Composition, Gender Differences, Labor Market & Outcomes","Miller, Carole F.", Atlantic Economic Journal, 1993
She's Leaving Home: But Why? An Analysis of Young People Leaving the Parental Home,"Keywords: Family Formation & Composition, Neighborhoods & Geographic Mobility","Buck, Nicholas and Scott, Jacqueline.", Journal of Marriage and Family, 1993
Simultaneous Equations for Hazards: Marital Duration and Fertility Timing,"Keywords: Family Formation & Composition, Statistical & Econometric Methods","Lillard, Lee.", Journal of Econometrics, 1993
Earnings Losses of Displaced Workers,Keywords: Labor Market & Outcomes,"Jacobson, Louis S., LaLonde, Robert J., and Sullivan, Daniel.", American Economic Review, 1993
Are Adolescent Mothers Just Single Mothers?,"Keywords: Family Formation & Composition, Gender Differences, Poverty, Racial-Ethnic Differences","Astone, Nan Marie.", Journal of Research on Adolescence, 1993
A Binomial Probit Analysis of the Home Equity Decisions of Elderly Homeowners,"Keywords: Aging, Expenditures, Savings & Consumption, Housing","VanderHart, Peter G.", Research on Aging, 1993
The Carnegie Conjecture: Some Empirical Evidence,"Keywords: Aging, Intergenerational Influences & Transfers, Labor Market & Outcomes","Holtz-Eakin, Douglas, Joulfaian, David, and Rosen, Harvey S.", The Quarterly Journal of Economics, 1993
Chronic Poverty in the United States,"Keywords: Family Formation & Composition, Poverty","Rodgers, Joan R. and Rodgers, John L.", The Journal of Human Resources, 1993
"A Comparative Study of the Occupational Attainment Processes of White Men and Women in the United States: The Effects of Having Ever Married, Spousal Education, Children and Having Ever Divorced","Keywords: Education Attainment & Achievement, Family Formation & Composition, Gender Differences, Labor Market & Outcomes","Airsman, Linda A. and Sharda, Bam Dev.", Journal of Comparative Family Studies, 1993
Do Neighborhoods Influence Child and Adolescent Development?,"Keywords: Children, Neighborhoods & Geographic Mobility, Racial-Ethnic Differences, Wellbeing","Brooks-Gunn, Jeanne, Duncan, Greg J., Klebanov, Pamela K., and Sealand, Naomi.", American Journal of Sociology, 1993
Transition from School to Work: A Comparison of Germany and the United States,"Keywords: Education Attainment & Achievement, Labor Market & Outcomes","Buechtemann, Christoph, Schupp, Jurgen, and Soloff, Dana.", Mitteilungen aus der Arbeitsmarkt-und Berufsforschung, 1993
U.S. Income Mobility in the Seventies and Eighties,Keywords: Income,"Hungerford, Thomas L.", The Review of Income and Wealth, 1993
Unanticipated Aggregate Disturbances and Tests of the Life-Cycle Consumption Model Using Panel Data,"Keywords: Aging, Expenditures, Savings & Consumption, Food & Nutrition, Life Course, Statistical & Econometric Methods","Mariger, Randall P. and Shaw, Kathryn.", The Review of Economics and Statistics, 1993
Why the Gender Gap in Wages Narrowed in the 1980s,"Keywords: Gender Differences, Labor Market & Outcomes","O'Neill, June and Polachek, Solomon W.", Journal of Labor Economics, 1993
A Multilevel Analysis of Elderly Migration,"Keywords: Aging, Neighborhoods & Geographic Mobility","Kallan, Jeffrey.", Social Science Quarterly, 1993
A New Approach to Poverty Dynamics,Keywords: Poverty,"Ashworth, Karl, Hill, Martha S., and Walker, R.", Bulletin de Methodologie Sociologique, 1993
Part-Time Employment by Married Women: Results from a Multinomial Logit Model,"Keywords: Family Formation & Composition, Gender Differences, Labor Market & Outcomes","Miller, Carole F.", Australian Bulletin of Labour, 1993
A Comparison of German and American People with Disabilities: Results from the German Socio-Economic Panel,"Keywords: Aging, Government Transfers, Health, Disability & Mortality, International Studies, Labor Market & Outcomes","Burkhauser, Richard V. and Daly, Mary C.", Viertel Jahrs Hefte Zur Wirtschaftsforschung, 1993
Cyclical Movements of the Labor Input and Its Implicit Real Wage,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods","Kydland, Finn E. and Prescott, Edward C.", Economic Review, 1993
Cyclical Movements of the Labor Input and Its Real Wage,Keywords: Labor Market & Outcomes,"Kydland, Finn and Prescott, E. C.", Economic Review, 1993
De l'ecole au travail: Une comparaison entre l'Allemagne et les Etas-Unis,"Keywords: Education Attainment & Achievement, Labor Market & Outcomes","Buechtemann, Christoph, Schupp, Jurgen, and Soloff, Dana.", Formation Emploi, 1993
Declining Family Incomes in the 1980s: New Evidence from Longitudinal Data,"Keywords: Education Attainment & Achievement, Income, Racial-Ethnic Differences","Rose, Stephen J.", Challenge, 1993
Discrete Choice Logit Models: Testing the IIA Property,Keywords: Statistical & Econometric Methods,"Zhang, Junsen and Hoffman, Saul.", Sociological Methods & Research, 1993
"Adustable-Rate Mortgages, Household Mobility, and Homeownership: A Simulation Study","Keywords: Aging, Housing, Neighborhoods & Geographic Mobility, Wealth, Assets & Pensions","Gabriel, Stuart A. and Rosenthal, Stuart S.", The Journal of Real Estate Finance and Economics, 1993
The Socioeconomic Consequences of Teenage Childbearing: Findings from a Natural Experiment,"Keywords: Family Formation & Composition, Racial-Ethnic Differences","Grogger, Jeff and Bronars, Stephen.", Family Planning Perspectives, 1993
The Socioeconomic Costs of Teenage Childbearing: Evidence and Interpretation,"Keywords: Children, Family Formation & Composition, Poverty","Geronimus, Arline T. and Korenman, Sanders.", Demography, 1993
State Income Tax Policy and Family Size: Fertility and the Dependency Exemption,"Keywords: Family Formation & Composition, Taxes","Whittington, Leslie A.", Public Finance Quarterly, 1993
The Impact of Union Wage Concessions on Union Premiums,Keywords: Labor Market & Outcomes,"Haggerty, Mark E. and Leigh, Duane E.", Industrial Relations: A Journal of Economy and Society, 1993
A Joint Model of Marital Childbearing and Marital Disruption,Keywords: Family Formation & Composition,"Lillard, Lee and Waite, Linda J.", Demography, 1993
The Link Between Population Density and Welfare Participation,"Keywords: Food & Nutrition, Government Transfers, Neighborhoods & Geographic Mobility, Poverty","Rank, Mark R. and Hirschl, Thomas A.", Demography, 1993
Part-time Participation over The Life Cycle among Married Women Who Work in the Market,"Keywords: Gender Differences, Labor Market & Outcomes","Miller, Carole F.", Applied Economics, 1993
Pension Portability and Labor Mobility: Evidence from the Survey of Income and Program Participation,"Keywords: Aging, Labor Market & Outcomes, Wealth, Assets & Pensions","Gustman, Alan L. and Steinmeier, Thomas L.", Journal of Public Economics, 1993
"Pensions, Bonding, and Lifetime Jobs","Keywords: Aging, Labor Market & Outcomes, Wealth, Assets & Pensions","Allen, Steven, Clark, Robert, and McDermed, Ann.", The Journal of Human Resources, 1993
Poverty Dynamics in Eight Countries,"Keywords: International Studies, Poverty","Duncan, Greg J., Gustafsson, Bjorn, Hauser, Richard, Schmauss, Gunther, Messinger, Hans, Muffels, Ruud, Nolan, Brian, and Ray, Jean-Claude.", Journal of Population Economics, 1993
Reassessing the Male-Female Wage Differential: A Fixed Effects Approach,"Keywords: Gender Differences, Labor Market & Outcomes","Choudhury, Sharmila.", Southern Economic Journal, 1993
Reevaluating the Costs of Teenage Childbearing,"Keywords: Children, Education Attainment & Achievement, Family Formation & Composition, Poverty","Hoffman, Saul, Foster, E. Michael, and Furstenberg Jr., Frank F.", Demography, 1993
Reevaluating the Costs of Teenage Childbearing: Response to Geronimus and Korenman,"Keywords: Children, Family Formation & Composition, Poverty","Hoffman, Saul, Foster, E. Michael, and Furstenberg Jr., Frank F.", Demography, 1993
The Relationship between Hours of Work and Labor Force Participation in Four Models of Labor Supply Behavior,Keywords: Labor Market & Outcomes,"Zabel, Jeffrey.", Journal of Labor Economics, 1993
Supervision and Wages Across Industries,Keywords: Labor Market & Outcomes,"Neal, Derek.", The Review of Economics and Statistics, 1993
Teen Out-of-Wedlock Births and Welfare Receipt: the Role of Childhood Events and Economic Circumstances,"Keywords: Children, Family Formation & Composition, Government Transfers","An, Chong-Bum, Haveman, Robert, and Wolfe, Barbara.", The Review of Economics and Statistics, 1993
The Demand for and Return To Education When Education Outcomes Are Uncertain,"Keywords: Education Attainment & Achievement, Statistical & Econometric Methods","Altonji, JG.", Journal of Labor Economics, 1993
The Economic Implications of Public Disability Insurance in the United States,"Keywords: Government Transfers, Health, Disability & Mortality, Labor Market & Outcomes","Danzon, Patricia M.", Journal of Labor Economics, 1993
Equity Considerations and Means-Tested Benefits,"Keywords: Aging, Government Transfers, Taxes, Wealth, Assets & Pensions","Morgan, James N.", Journal of Policy Analysis and Management, 1993
The War On Fraud and Error in the Food Stamp Program: An Evaluation of Its Effects in the Carter and Reagan Administrations,Keywords: Government Transfers,"Matt, George E. and Cook, Thomas D.", Evaluation Review, 1993
Technological Change and Retirement Decisions of Older Workers,"Keywords: Aging, Labor Market & Outcomes, Retirement","Bartel, Ann P. and Sicherman, Nachum.", Journal of Labor Economics, 1993
Mobility and Gender in a Segmented Labor Market: A Closer Look,"Keywords: Gender Differences, Labor Market & Outcomes","Waddoups, Jeffrey and Assane, Djeto.", The American Journal of Economics and Sociology, 1993
Has the Decline in Benefits Shortened Welfare Spells?,"Keywords: Government Transfers, Poverty","Hoynes, Hilary and MaCurdy, Thomas.", American Economic Review, 1994
Health Insurance and Job Mobility Theory and Evidence,"Keywords: Aging, Health, Disability & Mortality, Labor Market & Outcomes","Monheit, Alan C. and Cooper, Philip F.", Industrial and Labor Relations Review, 1994
"Housework, Wages, and the Division of Housework Time for Employed Spouses","Keywords: Gender Differences, Labor Market & Outcomes, Time Use & Home Production","Hersch, Joni and Stratton, Leslie S.", American Economic Review, 1994
Housing Affordability Among Elderly Female Heads of Household in Nonmetropolitan Areas,"Keywords: Aging, Gender Differences, Health, Disability & Mortality, Housing, Income, Neighborhoods & Geographic Mobility, Poverty, Racial-Ethnic Differences","Combs, E. Raedene and Park, Sooyoun Kim.", Journal of Family and Economic Issues, 1994
"Employment Hardship and Rural Minorities: Theory, Research, and Policy","Keywords: Education Attainment & Achievement, Labor Market & Outcomes, Neighborhoods & Geographic Mobility, Racial-Ethnic Differences","Jensen, Leif.", The Review of Black Political Economy, 1994
Recent Trends in White-Black Earnings Differentials,"Keywords: Gender Differences, Income, Racial-Ethnic Differences","Ashraf, Jared.", Economics Letters, 1994
Employment and Hours Over the Business Cycle,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods","Cho, Jang-Ok and Cooley, Thomas F.", Journal of Economic Dynamics and Control, 1994
Heterogeneous Agents in Quantitative Aggregate Economic Theory,"Keywords: Education Attainment & Achievement, Labor Market & Outcomes","Kydland, Finn E.", Journal of Economic Dynamics and Control, 1994
Differences in Returns to Education: An Analysis by Race,"Keywords: Education Attainment & Achievement, Income, Labor Market & Outcomes, Racial-Ethnic Differences","Ashraf, Javed.", The American Journal of Economics and Sociology, 1994
The Role of Pensions in the Labor Market: A Survey of the Literature,"Keywords: Aging, Labor Market & Outcomes, Wealth, Assets & Pensions","Gustman, Alan L., Mitchell, Olivia S., and Steinmeier, Thomas L.", Industrial & Labor Relations Review, 1994
Poverty and Education,"Keywords: Education Attainment & Achievement, Poverty","Connell, R. W.", Harvard Educational Review, 1994
Determining an Optimal Rule for Lost Income Compensation,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods","Wald, John.", Journal of Legal Economics, 1994
Introduction: Rural Households at Risk of Serious Housing Problems: An Overview,"Keywords: Aging, Family Formation & Composition, Health, Disability & Mortality, Housing, Racial-Ethnic Differences","Williams, Doris K.", Housing and Society, 1994
The Economic Consequences of Disability: A Comparison of German and American People With Disabilities,"Keywords: Health, Disability & Mortality, Income, International Studies, Labor Market & Outcomes","Burkhauser, Richard V. and Daly, Mary C.", Journal of Disability Policy Studies, 1994
Changes in Labor Force Activities and Income of the Elderly Before and After Retirement: A Longitudinal Analysis,"Keywords: Aging, Labor Market & Outcomes, Racial-Ethnic Differences, Retirement","Choi, Namkee G.", Journal of Sociology and Social Welfare, 1994
The Economics of Housespousery: An Essay On Household Work,"Keywords: Family Formation & Composition, Gender Differences, Time Use & Home Production","Bryant, W. Keith and Zick, Cathleen D.", Journal of Family and Economic Issues, 1994
Housing Expenditure/Income Ratios of Older Nonmetropolitan and Metropolitan Female Heads of Household,"Keywords: Aging, Gender Differences, Housing, Income, Neighborhoods & Geographic Mobility, Racial-Ethnic Differences","Combs, E. Raedene and Park, Sooyoun.", Housing and Society, 1994
Poverty and Social Context in Remote Rural Communities,"Keywords: Gender Differences, Neighborhoods & Geographic Mobility, Poverty","Duncan, Cynthia and Lamborghini, Nita.", Rural Sociology, 1994
Measuring the Impact of Income Distribution Changes On Railroad Traffic and Employment,"Keywords: Government Transfers, Income, Taxes","German, H. Wade and Babcock, Michael W.", Logistics and Transportation Review, 1994
Institutional Myopia and Policy Distortions: The Promotion of Homeownership for the Poor,"Keywords: Housing, Income, Poverty","Meyer, Peter B., Yeager, Jerry, and Burayidi, Michael A.", Journal of Economic Issues, 1994
The Economics of Single Parenthood: Past Research and Future Directions,"Keywords: Children, Family Formation & Composition, Income","Lino, Mark.", Marriage & Family Review, 1994
"Overview for Special Issue On Women's Work, Wages, and Well-Being","Keywords: Income, Labor Market & Outcomes, Wellbeing","Nakamura, Alice and Shaw, Kathryn.", The Journal of Human Resources, 1994
Pay Equity: A Look at Retail Buyers,"Keywords: Gender Differences, Income, Labor Market & Outcomes","Phillips, Lisa A. and Sternquist, Brenda J.", Clothing and Textiles Research Journal, 1994
How Often Were You Absent? A Review of the Use of Self-Reported Absence Data,"Keywords: Labor Market & Outcomes, Survey Methodology","Johns, Gary.", Journal of Applied Psychology, 1994
Uninsured Idiosyncratic Risk and Aggregate Saving,"Keywords: Expenditures, Savings & Consumption, Statistical & Econometric Methods, Wealth, Assets & Pensions","Aiyagari, S. Rao.", The Quarterly Journal of Economics, 1994
Worktime in Contemporary Context: Amending the Fair Labor Standards Act,Keywords: Labor Market & Outcomes,"Schor, Juliet B.", Chicago-Kent Law Review, 1994
Hedonic Damages Revisited: Some Empirical Findings,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods","Harmon, Oskar R. and Lambrinos, James.", Defense Counsel Journal, 1994
Elderly and Disabled-A Double Risk Group,"Keywords: Aging, Health, Disability & Mortality, Neighborhoods & Geographic Mobility, Racial-Ethnic Differences","Inman, Marjorie, Shea, Jannis, and Peaslee, John.", Housing and Society, 1994
Racial Differences in Timing and Factors Associated with Retirement,"Keywords: Aging, Gender Differences, Racial-Ethnic Differences, Retirement","Choi, Namkee G.", Journal of Sociology and Social Welfare, 1994
Housing Problems of the Disabled in the United States,"Keywords: Health, Disability & Mortality, Housing","Laquatra, Joseph, Peaslee, John, and White, Betty Jo.", Housing and Society, 1994
Should We Test the Life Cycle—Permanent Income Hypothesis with Food Consumption Data?,"Keywords: Expenditures, Savings & Consumption, Food & Nutrition, Income","Shea, John.",Should We Test the Life Cycle—Permanent Income Hypothesis with Food Consumption Data? Economics Letters, 1994
"Forming a Family, Leaving School Early, and Earning a GED: A Racial and Cohort Comparison","Keywords: Education Attainment & Achievement, Family Formation & Composition, Racial-Ethnic Differences","Astone, Nan Marie and Upchurch, Dawn M.", Journal of Marriage and Family, 1994
How Does Future Income Affect Current Consumption,"Keywords: Expenditures, Savings & Consumption, Food & Nutrition, Labor Market & Outcomes","Carroll, Christopher D.", The Quarterly Journal of Economics, 1994
The Importance of Precautionary Motives in Explaining Individual and Aggregate Saving,"Keywords: Aging, Expenditures, Savings & Consumption, Family Formation & Composition, Wealth, Assets & Pensions, Wellbeing","Hubbard, R. Glenn, Skinner, Jonathan, and Zeldes, Stephen P.", Carnegie-Rochester Conference Series on Public Policy, 1994
Sex Differences in Tenure Profiles: Effects of Shared Firm-Specific Investments,"Keywords: Gender Differences, Labor Market & Outcomes","Becker, Elizabeth and Lindsay, Cotton M.", Journal of Labor Economics, 1994
Job Losses Among Hispanics in the Recent Recession,"Keywords: Education Attainment & Achievement, Income, Labor Market & Outcomes, Racial-Ethnic Differences","Boisjoly, Johanne and Duncan, Greg J.", Monthly Labor Review, 1994
"Les familles monoparentales aux etats-unis. Dynamique, niveau de vie et consequences sur le developpement de l'enfant","Keywords: Aging, Family Formation & Composition, Gender Differences, Income, Intergenerational Influences & Transfers","Duncan, Greg J., Yeung, Wei-Jun J., and Rodgers, Willard.", Population, 1994
"Linked Lives, Dependent Demise? Survival Analysis of Husbands and Wives","Keywords: Aging, Family Formation & Composition, Health, Disability & Mortality","Smith, Ken R. and Zick, Cathleen D.", Demography, 1994
"Market work, wages, and men's health","Keywords: Aging, Health, Disability & Mortality, Labor Market & Outcomes","Haveman, Robert, Wolfe, Barbara, Kreider, Brent, and Stone, Mark.", Journal of Health Economics, 1994
Married Women's Labor Force Participation as Divorce Insurance,"Keywords: Family Formation & Composition, Gender Differences, Income, Labor Market & Outcomes","Montalto, Catherine P.", Financial Counseling and Planning, 1994
Measurement Error and Returns to Excess Schooling,Keywords: Education Attainment & Achievement,"Robst, John.", Applied Economics Letters, 1994
Measuring the Cyclicality of Real Wages: How Important is Composition Bias?,"Keywords: Labor Market & Outcomes, Statistical & Econometric Methods","Solon, Gary, Barsky, Robert, and Parker, Jonathan A.",Measuring the Cyclicality of Real Wages: How Important is Composition Bias? The Quarterly Journal of Economics, 1994
Panel Estimates of Male-Female Earnings Functions,"Keywords: Gender Differences, Labor Market & Outcomes","Polachek, Solomon W. and Kim, Moon-Kak.", The Journal of Human Resources, 1994
Panel Estimates of the Gender Earnings Gap: Individual Specific Intercept and Individual Specific Slope Models,"Keywords: Gender Differences, Labor Market & Outcomes","Polachek, Solomon W. and Kim, Moon-Kak.", Journal of Econometrics, 1994
Patterns of Childhood Poverty: New Challenges for Policy,Keywords: Poverty,"Ashworth, Karl, Hill, Martha S., and Walker, R.", Journal of Policy Analysis and Management, 1994
The Persistence of Female Labor Supply: Empirical Evidence and Implications,"Keywords: Gender Differences, Labor Market & Outcomes","Shaw, Kathryn.", The Journal of Human Resources, 1994
Recent Patterns in Downward Income Mobility: Sinking Boats in a Rising Tide,"Keywords: Education Attainment & Achievement, Family Formation & Composition, Income, Labor Market & Outcomes","Smith, Patricia K.", Social Indicators Research, 1994
The Returns to On-the-Job Training: Are They the Same for Blacks and Whites?,"Keywords: Gender Differences, Labor Market & Outcomes, Racial-Ethnic Differences","Sexton, Edwin and Olsen, Reed Neil.",The Returns to On-the-Job Training: Are They the Same for Blacks and Whites? Southern Economic Journal, 1994
Rigid Wages?,Keywords: Labor Market & Outcomes,"McLaughlin, Kenneth J.", Journal of Monetary Economics, 1994
Rising Wage Inequality and the U.S. Gender Gap,"Keywords: Gender Differences, Labor Market & Outcomes","Blau, Francine D. and Kahn, Lawrence M.", American Economic Review, 1994
Saving and Growth: A Reinterpretation,"Keywords: Aging, Income, Wealth, Assets & Pensions","Carroll, Christopher D. and Weil, David N.", Carnegie-Rochester Conference Series on Public Policy, 1994
The Saving of the Elderly in Micro and Macro Data,"Keywords: Aging, Intergenerational Influences & Transfers, Wealth, Assets & Pensions","Weil, David N.", The Quarterly Journal of Economics, 1994
Schooling as Human Capital or a Signal,"Keywords: Education Attainment & Achievement, Labor Market & Outcomes","Kroch, Eugene A. and Sjoblom, Kriss.", The Journal of Human Resources, 1994
Cyclical Factor Utilization,Keywords: Labor Market & Outcomes,"Bils, Mark and Cho, Jang-Ok.", Journal of Monetary Economics, 1994
Accounting for the Male/Female Wage Gap among Whites: 1976 and 1985,"Keywords: Gender Differences, Labor Market & Outcomes","Wellington, Alison J.", American Sociological Review, 1994
Armuts-und Sozialhilfedynamiken in Europa und Nordamerika,"Keywords: Family Formation & Composition, International Studies, Labor Market & Outcomes","Duncan, Greg J., Voges, Wolfgang, Hauser, Richard, Gustafsson, Bjorn, Jenkins, Stephen, Messinger, Hans, Nolan, Brian, Ray, Jean-Claude, and Schmauss, Gunther.", Zeitschrift fur Sozialreform, 1994
A Benefit-Cost Analysis of Investment in College Education in the United States: 1969-1985,"Keywords: Education Attainment & Achievement, Labor Market & Outcomes","Cohn, Elchanan and Hughes Jr., Woodrow W.", Economics of Education Review, 1994
Children and the Timing of Women's Paid Work After Childbirth: A Further Specification of the Relationship,"Keywords: Family Formation & Composition, Gender Differences, Labor Market & Outcomes","Joesch, Jutta M.", Journal of Marriage and Family, 1994
A Comparative Empirical Analysis of Labour Supply and Wages of Married Women in the FRG and the USA,"Keywords: Gender Differences, Labor Market & Outcomes, Racial-Ethnic Differences","Hujer, Reinhard, Grammig, Joachim, and Schnabel, Reinhard.", Jahbucher fur Nationalokonomie und Statistik, 1994
Comparing Housing Affordability and Quality Among Disability Households: The United States and Its Regions,"Keywords: Aging, Government Transfers, Health, Disability & Mortality, Housing, Income, Poverty","White, Betty Jo, Peaslee, John, and LaQuatra, Joseph.", Journal of Family and Economic Issues, 1994
Compensating Wage Differentials and the Optimal Provision of Unemployment Insurance,"Keywords: Government Transfers, Labor Market & Outcomes","Anderson, David A.", Southern Economic Journal, 1994
"Housing Tenure, Structure, and Crowding Among Latino Households","Keywords: Government Transfers, Housing, Income, Racial-Ethnic Differences","Memken, Jean A. and Canabal, Maria E.", Journal of Family and Economic Issues, 1994
Changing Wage Structure and Black--White Wage Differentials,"Keywords: Labor Market & Outcomes, Racial-Ethnic Differences","Card, David and Lemieux, Thomas.", American Economic Review, 1994
Sociodemographic and Health Factors in Driving Patterns After Fifty Years of Age,"Keywords: Aging, Expenditures, Savings & Consumption, Health, Disability & Mortality","Kington, Raynard, Reuben, David, Rogowski, Jeanette, and Lillard, Lee.", American Journal of Public Health, 1994
Tenure Changes in the Context of Micro Level Family and Macro Level Economic Shifts,"Keywords: Expenditures, Savings & Consumption, Family Formation & Composition, Housing","Clark, William A. V., Deurloo, M. C., and Dieleman, F. M.", Urban Studies, 1994
Tenure Choice: Cross-Sectional and Longitudinal Analyses,"Keywords: Family Formation & Composition, Housing, Labor Market & Outcomes, Neighborhoods & Geographic Mobility","Dieleman, F. M., Clark, William A. V., and Deurloo, M. C.", Netherlands Journal of Housing and the Built Environment, 1994
Is a Value Added Tax Regressive? Annual Versus Lifetime Incidence Measures,"Keywords: Expenditures, Savings & Consumption, Food & Nutrition, Taxes","Caspersen, Erik and Metcalf, Gilbert.", National Tax Journal, 1994
"Migration, Segregation, and the Geographic Concentration of Poverty","Keywords: Housing, Neighborhoods & Geographic Mobility, Poverty, Racial-Ethnic Differences","Massey, Douglas S., Gross, Andrew B., and Shibuya, Kumiko.", American Sociological Review, 1994
Modeling Entrepreneurial Career Progressions: Concepts and Considerations,Keywords: Labor Market & Outcomes,"Katz, Jerome A.", Entrepreneurship Theory and Practice, 1994
The Move to Housing Ownership in Temporal and Regional Contexts,"Keywords: Expenditures, Savings & Consumption, Family Formation & Composition, Housing, Labor Market & Outcomes","Deurloo, M. C., Clark, William A. V., and Dieleman, F. M.", Environment and Planning, 1994
"Varakozasok, attitudok, gazdasagi siker","Keywords: Aging, Labor Market & Outcomes, Wellbeing","Szekelyi, Maria and Tardos, Robert.", Szociologiai Szemle, 1994
"Welfare Dependence: Concepts, Measures, and Trends","Keywords: Government Transfers, Poverty","Gottschalk, Peter.", American Economic Review, 1994
Why Do People Save? Expanding the Life-Cycle Model: Precautionary Saving and Public Policy,"Keywords: Aging, Expenditures, Savings & Consumption, Wealth, Assets & Pensions","Hubbard, R. Glenn, Skinner, Jonathan, and Zeldes, Stephen P.", American Economic Review, 1994
Downward Mobility: Is It a Growing Problem?,"Keywords: Income, Labor Market & Outcomes","Smith, Patricia K.",Downward Mobility: Is It a Growing Problem? The American Journal of Economics and Sociology, 1994
Duration of Unemployment: Geographical Mobility and Selectivity Bias,"Keywords: Labor Market & Outcomes, Neighborhoods & Geographic Mobility","Goss, Ernst, Paul, Chris, and White, Al.", Review of Regional Studies, 1994
The Dynamics of Poverty Spells: Updating Bane and Ellwood,Keywords: Poverty,"Stevens, Ann Huff.", American Economic Review, 1994
Earnings Inequality Among Women: How Important are Human Capital Differences?,"Keywords: Education Attainment & Achievement, Gender Differences, Labor Market & Outcomes","Zandvakili, Sourushe.",Earnings Inequality Among Women: How Important are Human Capital Differences? Research on Economic Inequality, 1994
"Economic Dependency, Gender, and the Division of Labor at Home","Keywords: Gender Differences, Labor Market & Outcomes, Time Use & Home Production","Brines, Julie.", American Journal of Sociology, 1994
Estimating Labor Supply with Panel Data,Keywords: Labor Market & Outcomes,"Conway, K. Smith and Kniesner, Thomas J.", Economics Letters, 1994
Estimating the Adequacy of Worker's Compensation Benefits,Keywords: . ,"Anderson, David A.", Kentucky Journal of Economics and Business, 1994
Family Ties and Labor Markets in the United States and Brazil,"Keywords: Aging, Education Attainment & Achievement, Intergenerational Influences & Transfers, Labor Market & Outcomes","Lam, David and Schoeni, Robert F.", The Journal of Human Resources, 1994
Sharing Prosperity Across the Age Distribution: A Comparison of the United States and Germany in the 1980s,"Keywords: Gender Differences, Government Transfers, Income, International Studies, Poverty","Burkhauser, Richard V., Duncan, Greg J., and Hauser, Richard.", The Gerontologist, 1994
The Information Effects of Origin on Migrants' Job Search Behavior,"Keywords: Labor Market & Outcomes, Neighborhoods & Geographic Mobility","Gibbs, Robert Morris.", Journal of Regional Science, 1994
Economic Deprivation and Early-Childhood Development,"Keywords: Children, Intergenerational Influences & Transfers, Poverty, Wellbeing","Duncan, Greg J., Brooks-Gunn, Jeanne, and Klebanov, Pamela K.", Child Development, 1994
The Effect of Sibling Sex Composition on Women's Education and Earnings,"Keywords: Education Attainment & Achievement, Family Formation & Composition, Gender Differences, Labor Market & Outcomes","Butcher, Kristin F. and Case, Anne.", The Quarterly Journal of Economics, 1994
An Empirical Analysis of the Housing Decisions of Older Homeowners,"Keywords: Aging, Expenditures, Savings & Consumption, Housing","VanderHart, Peter G.", Journal of the American Real Estate and Urban Economics Association, 1994
Inheritance and Labor Supply,"Keywords: Aging, Intergenerational Influences & Transfers, Labor Market & Outcomes, Wealth, Assets & Pensions","Joulfaian, David and Wilhelm, Mark Ottoni.", The Journal of Human Resources, 1994
Evidence on the Validity of Cross-sectional and Longitudinal Labor Market Data,"Keywords: Labor Market & Outcomes, Survey Methodology","Bound, John, Brown, Charles, Duncan, Greg J., and Rodgers, Willard.", Journal of Labor Economics, 1994
Expanding the Life-Cycle Model: Precautionary Saving and Public Policy,"Keywords: Aging, Labor Market & Outcomes, Retirement, Wealth, Assets & Pensions","Hubbard, R. Glenn, Skinner, Jonathan, and Zeldes, Stephen P.", American Economic Review, 1994
Extent and Consequences of Welfare Dependence Among America's Children,"Keywords: Children, Government Transfers, Poverty","Duncan, Greg J. and Yeung, Wei-Jun J.", Children and Youth Services Review, 1994
Families and Neighbors as Sources of Disadvantage in the Schooling Decisions of White and Black Adolescents,"Keywords: Education Attainment & Achievement, Family Formation & Composition, Income, Neighborhoods & Geographic Mobility, Racial-Ethnic Differences","Duncan, Greg J.", American Journal of Education, 1994
The Growth of Earnings Instability in the U.S. Labor Market,"Keywords: Income, Labor Market & Outcomes","Gottschalk, Peter and Moffitt, Robert.", Brookings Papers on Economic Activity, 1994
